"","X","Season","Year","Month","Lake.x","Leu_nM","TdR_nM","Leu","TdR","Leu.TdR","Station","PI_name","Latitude° N","Longitude°W","Lake.y"
"1",1,"Winter",2025,"February","St. Clair",0.14,0.02,18.4,45.5,5.8,"SCS1","Wagner",42.4719444,-82.875,"Lake St Clair"
"2",2,"Winter",2025,"February","St. Clair",7.31,0.02,937,34.3,390,"SCS2","Wagner",46.66423,-82.7546,"Lake St Clair"
"3",3,"Winter",2025,"February","Superior",0.07,0.01,8.4,14.8,8.1,"Keweenaw_Bay_Baraga","Vick-Majors",46.77674,-88.48309,"Lake Superior"
"4",4,"Winter",2025,"February","Michigan",1.97,0.07,253,124,29,"Racine","Rae-Ann",42.737571,-87.777174,"Lake Michigan"
"5",5,"Winter",2025,"February","Erie",0.52,0.03,66.7,52.8,18,"EC1",NA,NA,NA,NA
"6",6,"Winter",2025,"February","Erie",0.93,0.07,119,130,13,"EC2",NA,NA,NA,NA
"7",7,"Winter",2025,"February","Huron",0.23,0.03,29.4,50.3,8.3,"St_Martins_Bay","Doubek",46.01307,-84.8302,"Lake Huron"
"8",8,"Winter",2025,"February","Erie",1.43,0.1,183,191,14,"Put-In-Bay","Chaffin",41.658349,-82.826087,"Lake Erie"
"9",9,"Winter",2025,"February","Superior",0.27,0.02,34.5,38.6,13,"Keweenaw_Waterway","Vick-Majors",47.12155,-88.54558,"Lake Superior"
"10",10,"Winter",2025,"February","St. Clair",1.07,0.05,138,99.5,20,"LSC-MB",NA,NA,NA,NA
"11",11,"Winter",2025,"February","Superior",0.08,0.02,9.89,39.2,3.6,"Washburn","Ozersky",46.67001,-90.884295,"Lake Superior"
"12",12,"Winter",2025,"February","Superior",0.02,0,3.16,5.66,8,"Whitefish_Bay","Doubek",46.45445,-84.8302,"Lake Superior"
"13",13,"Winter",2024,"February","Erie",4.19,0.31,537,571,13,"EC958","McKay",41.51525,-81.72153,"Lake Erie"
"14",14,"Winter",2024,"February","Superior",1.46,0.03,188,52.6,51,"Keweenaw_Waterway","Vick-Majors",47.12155,-88.54558,"Lake Superior"
"15",15,"Winter",2024,"February","Erie",9.03,0.34,1160,625,26,"EC933","McKay",42.82494,-79.56764,"Lake Erie"
"16",16,"Winter",2024,"February","Erie",7.35,0.33,943,599,22,"EC888","McKay",41.28117,-81.67035,"Lake Erie"
"17",17,"Winter",2024,"February","St. Clair",1.54,0.13,198,245,12,"SCS1","Wagner",42.4719444,-82.875,"Lake St Clair"
"18",18,"Winter",2024,"February","Huron",3.9,0.14,500,248,29,"St_Martins_Bay","Doubek",46.01307,-84.8302,"Lake Huron"
"19",19,"Winter",2024,"February","Superior",0.32,0.07,41.3,128,4.6,"Washburn","Ozersky",46.67001,-90.884295,"Lake Superior"
"20",20,"Winter",2024,"February","St. Clair",21.72,1.1,2780,2020,20,"LSC_MB","McKay",42.46891,-82.41095,"Lake St Clair"
"21",21,"Winter",2024,"February","Michigan",8.38,0.12,1070,215,71,"1629_Suttons_Bay","Uzarski",44.97469,-85.64677,"Lake Michigan"
