Wavelength,I1,I1 dark,R1,R1dark,XCorrect,I1c,R1c,I1c/R1c,Abs,Percent T
nm,uA,uA,uA,uA,,uA,uA,uA/uA,OD,T*100
,Abs Detector Raw,Dark Offset for Abs Detector,Ref Detector Raw,Dark Offset for Ref Detector,Linear interp,Dark subtracted Abs Detector,Corrected Ref Detector,Corrected Intensity ,-Log(T),% Transmittance
800,0.141871777158328,2.46610273329474E-4,0.208797572064551,0.00496603700083998,1.35067892074585,0.141625166884999,0.275310957793823,0.514418924767463,-2.48612553422464E-4,100.057261544111
795,0.16588015490053,,0.243784987810673,,1.32914304733276,0.165633544627201,0.317424548040195,0.521804459200889,-3.13731968426908E-4,100.072265554348
790,0.149389058469843,,0.219981569174098,,1.30966234207153,0.149142448196514,0.281597745447786,0.529629411483225,-2.96176283505244E-4,100.068220369046
785,0.15640383696049,,0.230476598772359,,1.28932750225067,0.156157226687161,0.290756969340019,0.537071310935789,-4.51087904289483E-4,100.103920788676
780,0.176749087581099,,0.260320577153475,,1.268270611763,0.17650247730777,0.323858658855842,0.544998481533067,-4.56452219202555E-4,100.105157259075
775,0.222749425951673,,0.327028921727925,,1.24929487705231,0.222502815678344,0.402351511978235,0.553006038387597,-4.11591520005528E-4,100.094817373114
770,0.414720645773278,,0.606127788410552,,1.23221707344055,0.414474035499949,0.740761773986472,0.559524060305409,-5.95988627348586E-4,100.137325658339
765,0.351113943604342,,0.509852260841149,,1.22051060199738,0.350867333331013,0.616218988999517,0.569387408688387,-4.69118026973938E-4,100.108076778481
760,0.336775082577653,,0.490742431205594,,1.20898902416229,0.336528472304324,0.587298328790683,0.573011118552433,-7.73618260111209E-4,100.178290936968
755,0.39729613793885,,0.577606328563581,,1.19543445110321,0.397049527665521,0.684553932623888,0.580012046886699,-7.63307736353449E-4,100.175912646589
750,0.46950886348038,,0.680412207364215,,1.1848680973053,0.469262253207051,0.800314618710602,0.586347221750224,-8.30721994856349E-4,100.191463866616
745,0.598433425037977,,0.863045899566575,,1.17581367492676,0.598186814764648,1.00894203658406,0.592885213495421,-0.00101242496577064,100.233391398087
740,0.777442367498962,,1.11497529309117,,1.16803753376007,0.777195757225633,1.29653247393459,0.599441797911218,-7.97788704832718E-4,100.183866465383
735,0.977729263976488,,1.39173517662884,,1.1606684923172,0.977482653703158,1.60957924648405,0.607290790955686,-7.98503297438899E-4,100.184031309083
730,0.984213042331927,,1.40107390339817,,1.15388596057892,0.983966432058598,1.61094926648966,0.610799143416048,-5.68235254594318E-4,100.130926636838
725,1.00918825890694,,1.44576639742124,,1.14589858055115,1.00894164863361,1.65101108786332,0.611105313616846,-5.39975036935773E-4,100.124411173636
720,0.986260866420424,,1.41877347760723,,1.13600122928619,0.986014256147095,1.60608699050282,0.613923319208506,-3.98096902821893E-4,100.091707224784
715,0.726196045071897,,1.04475867960221,,1.12339866161346,0.725949434798567,1.1681016630539,0.621477956722221,-3.30534035587536E-4,100.076137244003
710,0.448213024637252,,0.650977315208882,,1.10628998279572,0.447966414363922,0.714675805854612,0.626810661133606,-4.74349325035135E-4,100.109282638476
705,0.313041234100711,,0.466259193083209,,1.08649384975433,0.312794623827382,0.50119217701726,0.624101169513286,-5.13782580362805E-4,100.118372816437
700,0.271952959118408,,0.416154116684298,,1.0694442987442,0.271706348845078,0.439742747529051,0.617875679296174,-3.83753365199866E-4,100.088401528948
695,0.319290977728082,,0.49096482958117,,1.06210851669312,0.319044367454753,0.516183456702139,0.618083286692498,-4.8486262318432E-4,100.111706089657
690,0.37153738712625,,0.568773511521239,,1.06392598152161,0.37129077685292,0.599849420718333,0.618973302346931,-4.04524176364221E-4,100.093188527377
685,0.38516970823877,,0.589576048974737,,1.064248919487,0.38492309796544,0.622170573564502,0.61867776188797,-3.00575422063321E-4,100.069234004297
680,0.382489558408171,,0.586643324987432,,1.06094348430634,0.382242948134841,0.617126728658355,0.619391334687196,-3.18677113541995E-4,100.073405045438
675,0.400569680711414,,0.615261603376497,,1.05628788471222,0.400323070438085,0.644647812856188,0.620995002937195,-2.62835424912827E-4,100.060538410235
670,0.415662129076401,,0.639561235542584,,1.0509113073349,0.415415518803071,0.666903269727955,0.622902207350894,-2.75131510668838E-4,100.063371442728
665,0.424880709667007,,0.654637872750407,,1.04460680484772,0.424634099393677,0.678651620541906,0.6257026234677,-3.76072385543727E-4,100.086631370197
660,0.439985484081749,,0.678959317355372,,1.03775990009308,0.439738873808419,0.699443199284125,0.628698476528885,-3.15555442877708E-4,100.072685729161
