Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.144575027269597	2.29500545538344E-4	0.212800271519077	0.00493274289067486	1.35067892074585	0.144345526724058	0.280762289225917	0.51412006620273	5.4464381023139E-4	99.8746697322204
798	0.153056777533252		0.225463189750033		1.34199333190918	0.152827276987713	0.295950389168211	0.516394918138966	4.95050808052679E-4	99.8860752824459
796	0.165855867486076		0.244007496621735		1.33337259292603	0.165626366940538	0.318775724285534	0.519570200371289	5.46459978956966E-4	99.8742520689068
794	0.167357296847142		0.245803880663019		1.32502686977386	0.167127796301604	0.319160729701358	0.523647744689602	7.42526209411554E-4	99.8291730974396
792	0.15739812673618		0.231334701758127		1.31713449954987	0.157168626190642	0.298201830789991	0.527054531403357	6.31141665924117E-4	99.8547798075648
790	0.151126970259469		0.222693237177789		1.30966234207153	0.15089746971393	0.285192718958716	0.529107020210337	5.59510052666651E-4	99.8712510020655
788	0.153465182835575		0.226318511821506		1.30193436145782	0.153235682290037	0.288229739708811	0.531644244777952	6.21122762627311E-4	99.8570834217347
786	0.157389875927498		0.232055133464538		1.29363858699799	0.157160375381959	0.293814288417577	0.534896979409655	6.02776246906503E-4	99.8613019147716
784	0.162438211554908		0.239486815640043		1.28498160839081	0.16220871100937	0.301397669656097	0.53818833833206	5.62026165143561E-4	99.8706723933489
782	0.170038068473393		0.250610749769178		1.27644824981689	0.169808567927855	0.313595261898568	0.54148958405749	5.8856550916938E-4	99.8645695731199
780	0.18212481750194		0.268366726756639		1.268270611763	0.181895316956402	0.334105579876851	0.544424660681955	5.65604553625108E-4	99.869849507942
778	0.197377580807693		0.290444530089441		1.26044166088104	0.197148080262154	0.359870951257927	0.547829936184135	3.47070077739495E-4	99.9201160854789
776	0.217320540513466		0.319505908452321		1.25292003154755	0.217091039967928	0.39413502051951	0.550803731375557	6.46385812598112E-4	99.8512748719557
774	0.255465712289451		0.375208865383064		1.24577045440674	0.255236211743913	0.461279053373308	0.553322787751545	4.13386179585449E-4	99.9048596017272
772	0.344390443379438		0.505463654596478		1.23883104324341	0.3441609428339	0.620073231524074	0.555032737001061	3.61671189624104E-4	99.9167567974141
770	0.431327018540174		0.630958289104792		1.23221707344055	0.431097517994636	0.771399366454982	0.55885127307762	5.75034552413196E-4	99.8676810200274
768	0.438061463703694		0.637720882156383		1.22665858268738	0.437831963158156	0.776215002053056	0.564060166320038	7.40842152990923E-4	99.8295602040985
766	0.375586065698939		0.545743883622538		1.22236526012421	0.375356565153401	0.661068750718772	0.567802614698214	7.41711109526502E-4	99.8293604606857
764	0.330128024498745		0.481453242094762		1.2186872959137	0.329898523953206	0.580729478622474	0.568076076895125	4.25451615307634E-4	99.9020841141991
762	0.328060771394212		0.479261367408697		1.214359998703	0.327831270848674	0.576005707854502	0.56914587195633	6.37479962446043E-4	99.8533224909019
760	0.344512303310897		0.503170031253592		1.20898902416229	0.344282802765358	0.60236341305915	0.571553310346143	5.13617552153166E-4	99.8818050933594
758	0.368729914908464		0.538175261826609		1.2031888961792	0.368500414362926	0.641591477754342	0.574353661387036	4.81477982094671E-4	99.8891970294569
756	0.393216261246168		0.57327561721614		1.19780671596527	0.39298676070063	0.680764911838048	0.577272350361854	5.09036332419519E-4	99.8828587169467
754	0.419012245029811		0.610033902591722		1.1931779384613	0.418782744484273	0.721993354292639	0.580036841051769	6.11057878223079E-4	99.8593976617025
752	0.444617019402597		0.646846130838182		1.18890511989594	0.444387518857059	0.763174113460537	0.582288511912476	5.90996008070269E-4	99.864010689557
750	0.483215571189283		0.702257980592353		1.1848680973053	0.482986070643745	0.826238427598552	0.584560163883367	5.69908626471445E-4	99.8688597533046
748	0.535743679194723		0.777549436895507		1.18107759952545	0.535514178649185	0.912520270308518	0.586851816966357	5.93905585168117E-4	99.8633416479799
746	0.588838181240869		0.852889847971415		1.17750906944275	0.58860868069533	0.998477181730989	0.58950639179846	5.72776388573083E-4	99.8682002948094
744	0.636971732073927		0.920420952743078		1.174187541008	0.636742231528389	1.0749548499484	0.59234323335436	5.91748166686463E-4	99.8638377343062
742	0.703226280454207		1.01393722739382		1.17108881473541	0.702996779908668	1.1816338658195	0.594936215221892	5.48411627866183E-4	99.8738032512376
