Wavelength,I1,I1 dark,R1,R1dark,XCorrect,I1c,R1c,I1c/R1c,Abs,Percent T
nm,uA,uA,uA,uA,,uA,uA,uA/uA,OD,T*100
,Abs Detector Raw,Dark Offset for Abs Detector,Ref Detector Raw,Dark Offset for Ref Detector,Linear interp,Dark subtracted Abs Detector,Corrected Ref Detector,Corrected Intensity ,-Log(T),% Transmittance
800,0.141075128907117,2.47740160905831E-4,0.207938243645438,0.00496758597296362,1.35067892074585,0.140827388746211,0.274148188848133,0.513690750020689,0.00136599303958586,99.6859626111772
798,0.144178143192203,,0.212702003544616,,1.34199333190918,0.143930403031297,0.278778203189195,0.51629001616607,0.00136616732608495,99.685922606262
796,0.156686475127696,,0.231063397437922,,1.33337259292603,0.15643873496679,0.301469958382746,0.518919814783587,0.0012474346925791,99.7131796649749
794,0.164927179135295,,0.242798742392251,,1.32502686977386,0.164679438974389,0.315132672724947,0.522571771280994,0.00134826894677923,99.6900310011303
792,0.158638474402733,,0.233405979673435,,1.31713449954987,0.158390734241827,0.300884089364645,0.526417779605061,0.00135983486636436,99.6873761400233
790,0.149490204328204,,0.220312098881639,,1.30966234207153,0.149242464167298,0.28202859912823,0.529174929878094,0.00131657431539163,99.6973066037793
788,0.14794184030546,,0.218448934979172,,1.30193436145782,0.147694100144554,0.277938703801553,0.531390907867251,0.00121119301767344,99.7215010311903
786,0.151811565250325,,0.224150582600432,,1.29363858699799,0.151563825089419,0.283543582051143,0.534534493755817,0.00114677446490835,99.7362937386603
784,0.156076254716926,,0.230384899210653,,1.28498160839081,0.15582851455602,0.289657101723301,0.5379758121894,0.00121636439011299,99.7203136019845
782,0.162037586022452,,0.23914523433495,,1.27644824981689,0.161789845861546,0.298915649397894,0.541255856585091,0.00117569400930719,99.7296525487213
780,0.171661971817735,,0.253168537120102,,1.268270611763,0.171414231656829,0.31478597215154,0.544542155056099,0.001096425774633,99.747857051263
778,0.185358643134465,,0.273171407370985,,1.26044166088104,0.18511090297356,0.338055270097565,0.547575853262502,0.00116171155278239,99.7328634759545
776,0.201675746951101,,0.296932539096719,,1.25292003154755,0.201428006790196,0.365808738278594,0.550637493620482,0.00117359521052029,99.7301345096678
774,0.227192189949118,,0.333988879280681,,1.24577045440674,0.226944449788213,0.409885006073447,0.553678340084356,0.0010750341340948,99.7527703599575
772,0.289415898883224,,0.424903519115158,,1.23883104324341,0.289168158722318,0.520229670149938,0.55584711006386,9.94603183992631E-4,99.7712461947223
770,0.386846572856093,,0.567123711112792,,1.23221707344055,0.386598832695187,0.692698375336479,0.558105586009778,9.58359728243842E-4,99.7795728159156
768,0.441348547430794,,0.644104505788102,,1.22665858268738,0.441100807269888,0.784002788203614,0.562626579786257,0.00111927358468544,99.7426095516088
766,0.401520725934665,,0.58420864115927,,1.22236526012421,0.401272985773759,0.708044143097429,0.566734418589128,0.00127155285116575,99.7076423358012
764,0.34008526963718,,0.495064739537932,,1.2186872959137,0.339837529476274,0.597275174813091,0.56897983342874,0.00130300808262137,99.700420937599
762,0.318904449409314,,0.465909456756482,,1.214359998703,0.318656709248409,0.559749369606833,0.569284623709773,0.00122702168571251,99.7178665623279
760,0.328736603911043,,0.480161088474437,,1.20898902416229,0.328488863750137,0.574503728877519,0.57177847111967,0.0010926007183808,99.748735586129
758,0.348553314036937,,0.508789361675474,,1.2031888961792,0.348305573876031,0.606192766178548,0.574578901809992,0.00103452628696768,99.7620750105883
756,0.373737801851344,,0.545004924274905,,1.19780671596527,0.373490061690438,0.646860350690074,0.577389016488639,0.00104292938465933,99.7601447480889
754,0.398350985041569,,0.580078628053214,,1.1931779384613,0.398103244880663,0.686209807575645,0.580147996262466,0.00100179510032152,99.7695939966325
752,0.421252592616074,,0.612631918328411,,1.18890511989594,0.421004852455168,0.722455235915536,0.582741783193871,9.1337273190096E-4,99.7899091567186
750,0.452936368429413,,0.65792683574996,,1.1848680973053,0.452688628268508,0.773670583901165,0.585118056299705,9.32203473846654E-4,99.785582421362
748,0.498604139243028,,0.723375750283361,,1.18107759952545,0.498356399082122,0.848495790183211,0.587341039104643,8.07670651582853E-4,99.814199782469
746,0.553894285506474,,0.802314053800947,,1.17750906944275,0.553646545345568,0.938882697355592,0.589686599726399,8.84096176191508E-4,99.796636396945
744,0.603149581940519,,0.871630983150435,,1.174187541008,0.602901841779613,1.01762536321345,0.592459527419574,9.51867449039304E-4,99.7810644344247
742,0.656097464724555,,0.945673166082116,,1.17108881473541,0.65584972456365,1.10164978282502,0.595334138660492,9.1275292621814E-4,99.7900515725205
