Wavelength,I1,I1 dark,R1,R1dark,XCorrect,I1c,R1c,I1c/R1c,Abs,Percent T
nm,uA,uA,uA,uA,,uA,uA,uA/uA,OD,T*100
,Abs Detector Raw,Dark Offset for Abs Detector,Ref Detector Raw,Dark Offset for Ref Detector,Linear interp,Dark subtracted Abs Detector,Corrected Ref Detector,Corrected Intensity ,-Log(T),% Transmittance
800,0.141449776427592,2.40152086252008E-4,0.208032550438274,0.00495990518686149,1.35067892074585,0.14120962434134,0.274285941321183,0.514826329272148,4.11416817704383E-4,99.9053126336595
798,0.146672958016829,,0.215874894767289,,1.34199333190918,0.146432805930577,0.283046509616628,0.517345386554714,2.7459303504134E-4,99.9367926013851
796,0.159673311434731,,0.234883769965992,,1.33337259292603,0.159433159348479,0.306574179756122,0.520047576985469,3.09566096782144E-4,99.9287451703448
794,0.165625427957578,,0.243174624196169,,1.32502686977386,0.165385275871326,0.315640903462963,0.523966552043317,2.9514380843448E-4,99.9320637137928
792,0.157512427883185,,0.231265112601301,,1.31713449954987,0.157272275796933,0.298074396113346,0.527627591794661,2.93255233497324E-4,99.9324982797594
790,0.149486790326753,,0.219918129309239,,1.30966234207153,0.149246638240501,0.28152269125165,0.530140705805809,2.48845666230107E-4,99.9427175804942
788,0.149433150342836,,0.220145329854596,,1.30193436145782,0.149192998256584,0.280157298459817,0.532532970144923,2.2108392380269E-4,99.9491065004124
786,0.153212589948706,,0.225682750791942,,1.29363858699799,0.152972437862454,0.285535590106731,0.535738601990995,2.1779043364015E-4,99.9498644714687
784,0.157834310434999,,0.232433576646925,,1.28498160839081,0.157594158348747,0.292299484219315,0.539153049721097,1.59736877215837E-4,99.9632259880701
782,0.164471930113677,,0.242102417779555,,1.27644824981689,0.164231778027425,0.302700145156124,0.542555993630986,1.02582721018313E-4,99.9763822450094
780,0.175136362215229,,0.257720537605453,,1.268270611763,0.174896210128977,0.320568881907131,0.545580747228125,8.58417449316924E-5,99.9802361610804
778,0.189411077658068,,0.278519092515022,,1.26044166088104,0.189170925571816,0.344805396425175,0.548630988763735,1.7573757504384E-4,99.9595431139486
776,0.206785514920796,,0.303596364753686,,1.25292003154755,0.206545362834544,0.374167602341713,0.552012952329086,-2.51667699863651E-5,100.005795030846
774,0.235799785129568,,0.345697275840341,,1.24577045440674,0.235559633043316,0.424480549072343,0.55493622395209,-5.44886128803003E-5,100.012547253878
772,0.309127996582779,,0.45253099611658,,1.23883104324341,0.308887844496527,0.554464961502053,0.557091729763672,-1.11450339608886E-4,100.025665682132
770,0.40550240163897,,0.592488151013882,,1.23221707344055,0.405262249552718,0.723962335636632,0.559783609732047,-1.90780145484446E-4,100.043938401992
768,0.442451868654413,,0.64329367113558,,1.22665858268738,0.442211716568161,0.783017592620151,0.564753232540308,-1.11243499362617E-4,100.025618043193
766,0.3907605364635,,0.566546996637557,,1.22236526012421,0.390520384377248,0.686464551123526,0.568886454133851,-1.92398688117707E-4,100.044311249652
764,0.334184157905389,,0.485387453504823,,1.2186872959137,0.333944005819137,0.585490949742064,0.570365786125737,-1.91933888433414E-4,100.044204178203
762,0.321421255734707,,0.46821189540695,,1.214359998703,0.321181103648455,0.56255468624283,0.570933122597463,-2.42113840256018E-4,100.055764314454
760,0.3340741469195,,0.486569607125588,,1.20898902416229,0.333833994833248,0.582260843573993,0.573340966540239,-2.4809063746587E-4,100.057141299778
758,0.355329011336523,,0.517125977547924,,1.2031888961792,0.355088859250271,0.616232531264543,0.576225436397538,-2.6597210573059E-4,100.061261097531
756,0.381236090395601,,0.554269206769625,,1.19780671596527,0.380995938309349,0.657966370578026,0.579050777283104,-2.9380439317887E-4,100.067673850023
754,0.405483845120489,,0.588590045865884,,1.1931779384613,0.405243693034237,0.696374608079276,0.581933471342344,-3.69639496054907E-4,100.085148870425
752,0.429193202935908,,0.622220763810115,,1.18890511989594,0.428953050849656,0.733864595128547,0.584512529555289,-3.67378424605277E-4,100.084627797529
750,0.463548168008593,,0.671189781558781,,1.1848680973053,0.463308015922341,0.78939452598474,0.586915668492104,-4.95994061006021E-4,100.114272093969
748,0.511707406707759,,0.739877375278459,,1.18107759952545,0.511467254621507,0.867994561425102,0.589251681233767,-5.70407538543286E-4,100.131427479833
746,0.568023824939761,,0.819634851766405,,1.17750906944275,0.567783672853509,0.959287138245199,0.591880835483881,-5.70403789843269E-4,100.131426615528
744,0.61586559232672,,0.886423061033224,,1.174187541008,0.615625440240468,1.03500305545239,0.594805432696414,-6.84362971438838E-4,100.157704620774
