Wavelength,Abs,,,,,,,,
827.33,0.475530967,,,,,,,,
824.33,0.178980156,,,,,,,,
821.33,0.123752776,,,,,,,,
818.33,0.118075706,,,,,,,,
815.33,0.1194972,,,,,,,,
812.33,0.11962113,,,,,,,,
809.33,0.124711174,,,,,,,,
806.33,0.139584946,,,,,,,,
803.33,0.14947181,,,,,,,,
800.33,0.146303537,,,,,,,,
797.33,0.159870567,,,,,,,,
794.33,0.170560342,,,,,,,,
791.33,0.156929246,,,,,,,,
788.33,0.154983668,,,,,,,,
785.33,0.161344396,,,,,,,,
782.33,0.170864415,,,,,,,,
779.33,0.189601509,,,,,,,,
776.33,0.216396503,,,,,,,,
773.33,0.28433955,,,,,,,,
770.33,0.427661674,,,,,,,,
767.33,0.420771899,,,,,,,,
764.33,0.336276874,,,,,,,,
761.33,0.336670852,,,,,,,,
758.33,0.369238854,,,,,,,,
755.33,0.40782383,,,,,,,,
752.33,0.445550833,,,,,,,,
749.33,0.508123328,,,,,,,,
746.33,0.588996524,,,,,,,,
743.33,0.666072173,,,,,,,,
740.33,0.804718951,,,,,,,,
737.33,0.956509434,,,,,,,,
734.33,1.012160325,,,,,,,,
731.33,1.013233657,,,,,,,,
728.33,1.021815038,,,,,,,,
725.33,1.045696171,,,,,,,,
722.33,1.052434164,,,,,,,,
719.33,0.979229294,,,,,,,,
716.33,0.811820382,,,,,,,,
713.33,0.610947569,,,,,,,,
710.33,0.458638044,,,,,,,,
707.33,0.363980144,,,,,,,,
704.33,0.305426377,,,,,,,,
701.33,0.283313826,,,,,,,,
698.33,0.29456064,,,,,,,,
695.33,0.333214822,,,,,,,,
692.33,0.368413033,,,,,,,,
689.33,0.390937118,,,,,,,,
686.33,0.398939639,,,,,,,,
683.33,0.391575691,,,,,,,,
680.33,0.395641566,,,,,,,,
677.33,0.407808766,,,,,,,,
674.33,0.418400227,,,,,,,,
671.33,0.42857977,,,,,,,,
668.33,0.435253779,,,,,,,,
665.33,0.440720021,,,,,,,,
662.33,0.449357579,,,,,,,,
659.33,0.462854191,,,,,,,,
656.33,0.483547926,,,,,,,,
653.33,0.510793664,,,,,,,,
650.33,0.524032586,,,,,,,,
647.33,0.525671542,,,,,,,,
644.33,0.53530581,,,,,,,,
641.33,0.55292541,,,,,,,,
638.33,0.576119951,,,,,,,,
635.33,0.599056546,,,,,,,,
632.33,0.620460638,,,,,,,,
629.33,0.642419622,,,,,,,,
626.33,0.667714161,,,,,,,,
623.33,0.687861703,,,,,,,,
620.33,0.702709718,,,,,,,,
617.33,0.715091732,,,,,,,,
614.33,0.727736648,,,,,,,,
611.33,0.741710523,,,,,,,,
608.33,0.760127295,,,,,,,,
605.33,0.781454704,,,,,,,,
602.33,0.805911936,,,,,,,,
599.33,0.834702558,,,,,,,,
596.33,0.865946431,,,,,,,,
593.33,0.898638672,,,,,,,,
590.33,0.925316178,,,,,,,,
587.33,0.949683389,,,,,,,,
584.33,0.972374492,,,,,,,,
581.33,0.995012182,,,,,,,,
578.33,1.018911764,,,,,,,,
575.33,1.044028135,,,,,,,,
572.33,1.071468765,,,,,,,,
569.33,1.101131739,,,,,,,,
566.33,1.133744774,,,,,,,,
563.33,1.171196709,,,,,,,,
560.33,1.212670514,,,,,,,,
557.33,1.259324927,,,,,,,,
554.33,1.306206102,,,,,,,,
551.33,1.35390432,,,,,,,,
548.33,1.400893044,,,,,,,,
545.33,1.445283914,,,,,,,,
542.33,1.484278082,,,,,,,,
539.33,1.520261457,,,,,,,,
536.33,1.55501,,,,,,,,
533.33,1.58938202,,,,,,,,
530.33,1.622430311,,,,,,,,
527.33,1.653723166,,,,,,,,
524.33,1.689446906,,,,,,,,
521.33,1.728471346,,,,,,,,
518.33,1.775012796,,,,,,,,
515.33,1.835667445,,,,,,,,
512.33,1.90201969,,,,,,,,
509.33,1.99248841,,,,,,,,
506.33,2.11055293,,,,,,,,
503.33,2.250399574,,,,,,,,
500.33,2.414291543,,,,,,,,
497.33,2.691987383,,,,,,,,
494.33,3.00588288,,,,,,,,
491.33,3.125271135,,,,,,,,
488.33,3.252384477,,,,,,,,
485.33,3.581028137,,,,,,,,
482.33,3.804080942,,,,,,,,
479.33,3.812176689,,,,,,,,
476.33,4.128693223,,,,,,,,
473.33,4.843045835,,,,,,,,
470.33,5.578087491,,,,,,,,
467.33,5.75971669,,,,,,,,
464.33,5.432057995,,,,,,,,
461.33,5.186257064,,,,,,,,
458.33,4.916334018,,,,,,,,
455.33,4.662186398,,,,,,,,
452.33,4.427108132,,,,,,,,
449.33,3.992283076,,,,,,,,
446.33,3.51328401,,,,,,,,
443.33,3.315148713,,,,,,,,
440.33,3.26268703,,,,,,,,
437.33,3.219754169,,,,,,,,
434.33,3.197246232,,,,,,,,
431.33,3.221640017,,,,,,,,
428.33,3.226399259,,,,,,,,
425.33,3.173782937,,,,,,,,
422.33,3.105490502,,,,,,,,
419.33,3.436988569,,,,,,,,
416.33,3.140471334,,,,,,,,
413.33,2.915503011,,,,,,,,
410.33,2.743749217,,,,,,,,
407.33,2.61259405,,,,,,,,
404.33,2.561667741,,,,,,,,
401.33,2.598036491,,,,,,,,
398.33,2.671476388,,,,,,,,
395.33,2.703959253,,,,,,,,
392.33,2.710998755,,,,,,,,
389.33,2.736003221,,,,,,,,
386.33,2.786250242,,,,,,,,
383.33,2.83624567,,,,,,,,
380.33,2.869737133,,,,,,,,
377.33,2.874522907,,,,,,,,
374.33,2.874232228,,,,,,,,
371.33,2.884471544,,,,,,,,
368.33,2.906702607,,,,,,,,
365.33,2.942668965,,,,,,,,
362.33,2.988741594,,,,,,,,
359.33,3.050087146,,,,,,,,
356.33,3.109563122,,,,,,,,
