Wavelength,Abs,,,,,,,,
827.33,0.476564112,,,,,,,,
824.33,0.179481199,,,,,,,,
821.33,0.123706093,,,,,,,,
818.33,0.118031798,,,,,,,,
815.33,0.119290247,,,,,,,,
812.33,0.11939862,,,,,,,,
809.33,0.124456112,,,,,,,,
806.33,0.139456908,,,,,,,,
803.33,0.149346612,,,,,,,,
800.33,0.146443837,,,,,,,,
797.33,0.159802688,,,,,,,,
794.33,0.170350807,,,,,,,,
791.33,0.15663147,,,,,,,,
788.33,0.154843236,,,,,,,,
785.33,0.161167907,,,,,,,,
782.33,0.170962421,,,,,,,,
779.33,0.18949097,,,,,,,,
776.33,0.216522466,,,,,,,,
773.33,0.284291264,,,,,,,,
770.33,0.427152666,,,,,,,,
767.33,0.420987636,,,,,,,,
764.33,0.33663616,,,,,,,,
761.33,0.336770235,,,,,,,,
758.33,0.368960861,,,,,,,,
755.33,0.407644768,,,,,,,,
752.33,0.445480094,,,,,,,,
749.33,0.507442087,,,,,,,,
746.33,0.588746182,,,,,,,,
743.33,0.665587311,,,,,,,,
740.33,0.804194944,,,,,,,,
737.33,0.955673842,,,,,,,,
734.33,1.010612158,,,,,,,,
731.33,1.012568592,,,,,,,,
728.33,1.020186787,,,,,,,,
725.33,1.046588745,,,,,,,,
722.33,1.05037038,,,,,,,,
719.33,0.979623393,,,,,,,,
716.33,0.811231834,,,,,,,,
713.33,0.611188351,,,,,,,,
710.33,0.459505075,,,,,,,,
707.33,0.364567565,,,,,,,,
704.33,0.305294055,,,,,,,,
701.33,0.283446103,,,,,,,,
698.33,0.293810517,,,,,,,,
695.33,0.332732628,,,,,,,,
692.33,0.367918899,,,,,,,,
689.33,0.390447245,,,,,,,,
686.33,0.398191132,,,,,,,,
683.33,0.391530483,,,,,,,,
680.33,0.395380242,,,,,,,,
677.33,0.408214567,,,,,,,,
674.33,0.418737729,,,,,,,,
671.33,0.428551564,,,,,,,,
668.33,0.43465342,,,,,,,,
665.33,0.440337475,,,,,,,,
662.33,0.448901215,,,,,,,,
659.33,0.462204896,,,,,,,,
656.33,0.482669629,,,,,,,,
653.33,0.509400336,,,,,,,,
650.33,0.523287999,,,,,,,,
647.33,0.524702142,,,,,,,,
644.33,0.534627708,,,,,,,,
641.33,0.552977314,,,,,,,,
638.33,0.574847253,,,,,,,,
635.33,0.598334056,,,,,,,,
632.33,0.618998333,,,,,,,,
629.33,0.640968707,,,,,,,,
626.33,0.665848704,,,,,,,,
623.33,0.687570053,,,,,,,,
620.33,0.701169187,,,,,,,,
617.33,0.715637742,,,,,,,,
614.33,0.726920219,,,,,,,,
611.33,0.740869827,,,,,,,,
608.33,0.758666272,,,,,,,,
605.33,0.780490832,,,,,,,,
602.33,0.804964325,,,,,,,,
599.33,0.834863016,,,,,,,,
596.33,0.865249721,,,,,,,,
593.33,0.895938092,,,,,,,,
590.33,0.924208064,,,,,,,,
587.33,0.950576985,,,,,,,,
584.33,0.97155511,,,,,,,,
581.33,0.993214319,,,,,,,,
578.33,1.018517596,,,,,,,,
575.33,1.04368582,,,,,,,,
572.33,1.071729649,,,,,,,,
569.33,1.102460587,,,,,,,,
566.33,1.133046048,,,,,,,,
563.33,1.171763608,,,,,,,,
560.33,1.213978073,,,,,,,,
557.33,1.260938089,,,,,,,,
554.33,1.306214987,,,,,,,,
551.33,1.351682309,,,,,,,,
548.33,1.401046207,,,,,,,,
545.33,1.448070324,,,,,,,,
542.33,1.484955721,,,,,,,,
539.33,1.520632518,,,,,,,,
536.33,1.556084026,,,,,,,,
533.33,1.591947115,,,,,,,,
530.33,1.621824558,,,,,,,,
527.33,1.65572838,,,,,,,,
524.33,1.687934442,,,,,,,,
521.33,1.729298515,,,,,,,,
518.33,1.775957404,,,,,,,,
515.33,1.834393735,,,,,,,,
512.33,1.902395009,,,,,,,,
509.33,1.993805216,,,,,,,,
506.33,2.113568546,,,,,,,,
503.33,2.251596853,,,,,,,,
500.33,2.4132907,,,,,,,,
497.33,2.689775886,,,,,,,,
494.33,3.003807139,,,,,,,,
491.33,3.125220686,,,,,,,,
488.33,3.254846014,,,,,,,,
485.33,3.58332329,,,,,,,,
482.33,3.807134631,,,,,,,,
479.33,3.816496416,,,,,,,,
476.33,4.12933146,,,,,,,,
473.33,4.840840752,,,,,,,,
470.33,5.58211183,,,,,,,,
467.33,5.752838365,,,,,,,,
464.33,5.439052562,,,,,,,,
461.33,5.196092082,,,,,,,,
458.33,4.92956426,,,,,,,,
455.33,4.67263907,,,,,,,,
452.33,4.43460957,,,,,,,,
449.33,4.000571415,,,,,,,,
446.33,3.522942986,,,,,,,,
443.33,3.327268768,,,,,,,,
