Wavelength,Abs,
827.33,0.472663625,
824.33,0.177837751,
821.33,0.123233297,
818.33,0.117563091,
815.33,0.118896362,
812.33,0.118771584,
809.33,0.123878964,
806.33,0.138792953,
803.33,0.148715002,
800.33,0.145818566,
797.33,0.158985227,
794.33,0.169683928,
791.33,0.155876741,
788.33,0.154291167,
785.33,0.160309321,
782.33,0.170036071,
779.33,0.188502315,
776.33,0.215350435,
773.33,0.282885066,
770.33,0.424795947,
767.33,0.418084583,
764.33,0.334173696,
761.33,0.334335001,
758.33,0.367163648,
755.33,0.405105624,
752.33,0.443029125,
749.33,0.505262695,
746.33,0.585987176,
743.33,0.66192515,
740.33,0.800051655,
737.33,0.951249751,
734.33,1.005278466,
731.33,1.008428014,
728.33,1.01534614,
725.33,1.039877135,
722.33,1.045784225,
719.33,0.973440785,
716.33,0.806747887,
713.33,0.607626777,
710.33,0.456974962,
707.33,0.362737914,
704.33,0.303541838,
701.33,0.281372442,
698.33,0.292302707,
695.33,0.331824928,
692.33,0.36625986,
689.33,0.388597315,
686.33,0.396707519,
683.33,0.389590236,
680.33,0.393039787,
677.33,0.406051305,
674.33,0.41649547,
671.33,0.425880264,
668.33,0.433303645,
665.33,0.437696207,
662.33,0.446090116,
659.33,0.459787711,
656.33,0.48120857,
653.33,0.507264085,
650.33,0.520935106,
647.33,0.523136918,
644.33,0.53206658,
641.33,0.550340334,
638.33,0.572134826,
635.33,0.594293845,
632.33,0.614991747,
629.33,0.637827366,
626.33,0.662770696,
623.33,0.68294232,
620.33,0.697695582,
617.33,0.710537048,
614.33,0.722750731,
611.33,0.735994155,
608.33,0.754293097,
605.33,0.776650096,
602.33,0.800657859,
599.33,0.830048224,
596.33,0.861185956,
593.33,0.891566224,
590.33,0.919820404,
587.33,0.943705854,
584.33,0.964880556,
581.33,0.986316425,
578.33,1.010503062,
575.33,1.037197384,
572.33,1.065152275,
569.33,1.094557688,
566.33,1.126546991,
563.33,1.164652763,
560.33,1.205270312,
557.33,1.253960314,
554.33,1.298446951,
551.33,1.34347842,
548.33,1.391778249,
545.33,1.435658248,
542.33,1.472530399,
539.33,1.509883387,
536.33,1.54569837,
533.33,1.578912403,
530.33,1.611444065,
527.33,1.643310954,
524.33,1.675712515,
521.33,1.716207883,
518.33,1.766717475,
515.33,1.823988911,
512.33,1.891123706,
509.33,1.985765591,
506.33,2.101130787,
503.33,2.23513291,
500.33,2.401881871,
497.33,2.67584698,
494.33,2.987577785,
491.33,3.106581801,
488.33,3.232752069,
485.33,3.560698077,
482.33,3.778150655,
479.33,3.791719196,
476.33,4.10319546,
473.33,4.808802808,
470.33,5.53889126,
467.33,5.714691636,
464.33,5.397786031,
461.33,5.154226569,
458.33,4.888434244,
455.33,4.632687508,
452.33,4.39903956,
449.33,3.9685031,
446.33,3.493766517,
443.33,3.295040852,
440.33,3.242378534,
437.33,3.196384669,
434.33,3.171768351,
431.33,3.194586116,
428.33,3.201746059,
425.33,3.152273154,
422.33,3.08415175,
419.33,3.414154186,
416.33,3.112937332,
413.33,2.896704139,
410.33,2.724051023,
407.33,2.596925416,
404.33,2.544419912,
401.33,2.58244908,
398.33,2.651915273,
395.33,2.684943096,
392.33,2.694875122,
389.33,2.717623364,
386.33,2.76372593,
383.33,2.81816893,
380.33,2.849887076,
377.33,2.854255812,
374.33,2.856160766,
371.33,2.87008732,
368.33,2.88655836,
365.33,2.919188678,
362.33,2.967814348,
359.33,3.026982166,
356.33,3.088745802,
353.33,3.144278805,
350.33,3.189177096,
347.33,3.221006801,
344.33,3.23691923,
341.33,3.242028662,
338.33,3.233385796,
335.33,3.200776093,
332.33,3.13184906,
329.33,3.02438763,
326.33,2.88934021,
323.33,2.753487414,
320.33,2.622206657,
317.33,2.516044028,
314.33,2.436721049,
311.33,2.354736536,
308.33,2.25998509,
305.33,2.159326181,
302.33,2.043651026,
299.33,1.913959842,
296.33,1.773703096,
293.33,1.626938994,
290.33,1.462340766,
287.33,1.28908093,
284.33,1.119297314,
281.33,0.961341195,
278.33,0.826587479,
275.33,0.711571452,
272.33,0.626625462,
269.33,0.567141349,
266.33,0.521608431,
263.33,0.47981179,
260.33,0.435759274,
257.33,0.388777217,
254.33,0.338987428,
251.33,0.291084008,
248.33,0.247441636,
245.33,0.205474869,
242.33,0.165806576,
239.33,0.131167467,
