Wavelength,Abs,
800,0.142701612,
797,0.157390295,
794,0.165963497,
791,0.152161631,
788,0.151190146,
785,0.157212045,
782,0.167298552,
779,0.185711263,
776,0.212380327,
773,0.285464969,
770,0.422269863,
767,0.40945996,
764,0.327688024,
761,0.329749592,
758,0.361864214,
755,0.399435724,
752,0.436278756,
749,0.498212142,
746,0.579165658,
743,0.652669516,
740,0.788357329,
737,0.937028358,
734,0.985573181,
731,0.986338626,
728,0.991470783,
725,1.01539677,
722,1.017724055,
719,0.948283138,
716,0.778389296,
713,0.58546067,
710,0.441114705,
707,0.351015792,
704,0.294463439,
701,0.274049779,
698,0.285190961,
695,0.323500653,
692,0.359227904,
689,0.379526593,
686,0.387009691,
683,0.380182097,
680,0.383790145,
677,0.395674166,
674,0.405770145,
671,0.414773591,
668,0.421264393,
665,0.426225349,
662,0.434708674,
659,0.446721132,
656,0.467880702,
653,0.493585726,
650,0.506318947,
647,0.50828036,
644,0.516835432,
641,0.533473721,
638,0.55550167,
635,0.577683441,
632,0.597432514,
629,0.619494048,
626,0.644124629,
623,0.664805144,
620,0.678594054,
617,0.689937724,
614,0.701323492,
611,0.714552452,
608,0.731393956,
605,0.751982359,
602,0.775076287,
599,0.802276582,
596,0.83220904,
593,0.861710377,
590,0.888987033,
587,0.91255457,
584,0.932551157,
581,0.953107307,
578,0.975811284,
575,1.001958932,
572,1.029827827,
569,1.058373118,
566,1.089671289,
563,1.127110148,
560,1.167761021,
557,1.213184689,
554,1.25528457,
551,1.298898058,
548,1.342237351,
545,1.383137476,
542,1.415266883,
539,1.444724359,
536,1.474660881,
533,1.504516025,
530,1.533012014,
527,1.561788992,
524,1.595750526,
521,1.636746285,
518,1.683560732,
515,1.744651256,
512,1.813886899,
509,1.90306964,
506,2.018504665,
503,2.149912825,
500,2.300507269,
497,2.550447948,
494,2.849589896,
491,2.974797696,
488,3.063958931,
485,3.336525587,
482,3.557222007,
479,3.559100169,
476,3.801418471,
473,4.448796027,
470,5.191252421,
467,5.457262556,
464,5.170896366,
461,4.924969092,
458,4.678303529,
455,4.412086794,
452,4.182177964,
449,3.793070895,
446,3.315550927,
443,3.09452771,
440,3.030375576,
437,2.97484096,
434,2.929206697,
431,2.926342139,
428,2.932619729,
425,2.909586973,
422,2.874304342,
419,3.162642248,
416,2.879890313,
413,2.660203568,
410,2.495013348,
407,2.367142516,
404,2.30100647,
401,2.313595329,
398,2.371044261,
395,2.398627882,
392,2.401113985,
389,2.410153986,
386,2.439449479,
383,2.475139449,
380,2.498954228,
377,2.495715328,
374,2.483490052,
371,2.478857911,
368,2.482969292,
365,2.497141067,
362,2.524513452,
359,2.561706661,
356,2.600392678,
353,2.634455947,
350,2.657507973,
347,2.66491558,
344,2.665275451,
341,2.659178175,
338,2.640313197,
335,2.601050761,
332,2.535007993,
329,2.438955592,
326,2.320592479,
323,2.18964758,
320,2.067349342,
317,1.967461946,
314,1.89051806,
311,1.810262599,
308,1.720645755,
305,1.631171119,
302,1.533167889,
299,1.422809551,
296,1.307511954,
293,1.18512051,
290,1.054758117,
287,0.918786522,
284,0.790108863,
281,0.675843399,
278,0.573562352,
275,0.486982144,
272,0.423760246,
269,0.378335669,
266,0.343170265,
263,0.312586644,
260,0.282031501,
257,0.250533937,
254,0.217271246,
251,0.185833171,
248,0.157791392,
245,0.129961721,
242,0.105070193,
239,0.082050072,
