Wavelength,Abs,,,,,,,,
800,0.143642855,,,,,,,,
797,0.158185123,,,,,,,,
794,0.16701463,,,,,,,,
791,0.15321995,,,,,,,,
788,0.152294336,,,,,,,,
785,0.158314938,,,,,,,,
782,0.168349158,,,,,,,,
779,0.186610457,,,,,,,,
776,0.213541266,,,,,,,,
773,0.287116893,,,,,,,,
770,0.424460525,,,,,,,,
767,0.413049331,,,,,,,,
764,0.330443162,,,,,,,,
761,0.33224154,,,,,,,,
758,0.364135627,,,,,,,,
755,0.401569004,,,,,,,,
752,0.438982091,,,,,,,,
749,0.500687352,,,,,,,,
746,0.582736329,,,,,,,,
743,0.65584017,,,,,,,,
740,0.791656277,,,,,,,,
737,0.942360633,,,,,,,,
734,0.992021187,,,,,,,,
731,0.993739944,,,,,,,,
728,0.998883602,,,,,,,,
725,1.022018899,,,,,,,,
722,1.025223284,,,,,,,,
719,0.956009848,,,,,,,,
716,0.785365881,,,,,,,,
713,0.589900474,,,,,,,,
710,0.443960628,,,,,,,,
707,0.353308924,,,,,,,,
704,0.296394905,,,,,,,,
701,0.275703643,,,,,,,,
698,0.287114544,,,,,,,,
695,0.325484059,,,,,,,,
692,0.360750939,,,,,,,,
689,0.381517559,,,,,,,,
686,0.389148204,,,,,,,,
683,0.381912003,,,,,,,,
680,0.385772117,,,,,,,,
677,0.397869811,,,,,,,,
674,0.408144348,,,,,,,,
671,0.417337217,,,,,,,,
668,0.423665818,,,,,,,,
665,0.428856126,,,,,,,,
662,0.437352904,,,,,,,,
659,0.449795058,,,,,,,,
656,0.470136821,,,,,,,,
653,0.495471965,,,,,,,,
650,0.509479623,,,,,,,,
647,0.510861469,,,,,,,,
644,0.518948259,,,,,,,,
641,0.536028987,,,,,,,,
638,0.558250086,,,,,,,,
635,0.580087499,,,,,,,,
632,0.600719421,,,,,,,,
629,0.622252162,,,,,,,,
626,0.646398786,,,,,,,,
623,0.666907533,,,,,,,,
620,0.680960802,,,,,,,,
617,0.692711254,,,,,,,,
614,0.703870583,,,,,,,,
611,0.717489357,,,,,,,,
608,0.734216146,,,,,,,,
605,0.754550817,,,,,,,,
602,0.7785778,,,,,,,,
599,0.806233431,,,,,,,,
596,0.835936386,,,,,,,,
593,0.864912142,,,,,,,,
590,0.892003599,,,,,,,,
587,0.915145306,,,,,,,,
584,0.935791834,,,,,,,,
581,0.956957383,,,,,,,,
578,0.979317572,,,,,,,,
575,1.004634033,,,,,,,,
572,1.032775361,,,,,,,,
569,1.061274624,,,,,,,,
566,1.093084335,,,,,,,,
563,1.128724322,,,,,,,,
560,1.170284965,,,,,,,,
557,1.213624012,,,,,,,,
554,1.256753533,,,,,,,,
551,1.299919395,,,,,,,,
548,1.343600083,,,,,,,,
545,1.384740364,,,,,,,,
542,1.417359428,,,,,,,,
539,1.445985414,,,,,,,,
536,1.477366635,,,,,,,,
533,1.506829302,,,,,,,,
530,1.534816428,,,,,,,,
527,1.564096624,,,,,,,,
524,1.596501362,,,,,,,,
521,1.637686562,,,,,,,,
518,1.684135156,,,,,,,,
515,1.74355813,,,,,,,,
512,1.811935847,,,,,,,,
509,1.903622708,,,,,,,,
506,2.017678345,,,,,,,,
503,2.14779994,,,,,,,,
500,2.296923819,,,,,,,,
497,2.548361889,,,,,,,,
494,2.850055399,,,,,,,,
491,2.970298843,,,,,,,,
488,3.054134514,,,,,,,,
485,3.333912277,,,,,,,,
482,3.552029017,,,,,,,,
479,3.553051885,,,,,,,,
476,3.789845107,,,,,,,,
473,4.428644174,,,,,,,,
470,5.175091945,,,,,,,,
467,5.447226787,,,,,,,,
464,5.159146566,,,,,,,,
461,4.91041489,,,,,,,,
458,4.663911197,,,,,,,,
455,4.394794501,,,,,,,,
452,4.17268284,,,,,,,,
449,3.783151777,,,,,,,,
446,3.296870531,,,,,,,,
443,3.075446228,,,,,,,,
440,3.0057952,,,,,,,,
437,2.954891287,,,,,,,,
434,2.909505643,,,,,,,,
431,2.909503035,,,,,,,,
428,2.917185626,,,,,,,,
425,2.890641031,,,,,,,,
422,2.855507044,,,,,,,,
419,3.141377407,,,,,,,,
416,2.855145797,,,,,,,,
413,2.636194748,,,,,,,,
410,2.469529459,,,,,,,,
407,2.34158294,,,,,,,,
404,2.275507012,,,,,,,,
401,2.283568585,,,,,,,,
398,2.337693833,,,,,,,,
395,2.365246891,,,,,,,,
392,2.362600052,,,,,,,,
389,2.365851723,,,,,,,,
386,2.393191179,,,,,,,,
383,2.422608676,,,,,,,,
380,2.443891129,,,,,,,,
377,2.438235649,,,,,,,,
374,2.422089201,,,,,,,,
371,2.412772711,,,,,,,,
368,2.41326338,,,,,,,,
365,2.42277476,,,,,,,,
362,2.446231626,,,,,,,,
359,2.475792547,,,,,,,,
356,2.508298547,,,,,,,,
353,2.535721598,,,,,,,,
350,2.550927285,,,,,,,,
347,2.556650904,,,,,,,,
344,2.552419602,,,,,,,,
341,2.537992607,,,,,,,,
338,2.512300844,,,,,,,,
335,2.469923414,,,,,,,,
332,2.401696264,,,,,,,,
329,2.307125792,,,,,,,,
326,2.188571767,,,,,,,,
323,2.06229614,,,,,,,,
320,1.940903892,,,,,,,,
317,1.838862305,,,,,,,,
314,1.7557169,,,,,,,,
311,1.678760311,,,,,,,,
308,1.592280035,,,,,,,,
305,1.502795881,,,,,,,,
302,1.407116462,,,,,,,,
299,1.300067309,,,,,,,,
296,1.189920661,,,,,,,,
293,1.074314763,,,,,,,,
290,0.952851017,,,,,,,,
287,0.827999518,,,,,,,,
284,0.707334895,,,,,,,,
281,0.60051377,,,,,,,,
278,0.50664371,,,,,,,,
275,0.427838204,,,,,,,,
272,0.369553975,,,,,,,,
269,0.32752685,,,,,,,,
266,0.295511919,,,,,,,,
263,0.267604034,,,,,,,,
260,0.24067653,,,,,,,,
257,0.212748426,,,,,,,,
254,0.183833878,,,,,,,,
251,0.156624094,,,,,,,,
248,0.1324337,,,,,,,,
245,0.108876729,,,,,,,,
242,0.087659172,,,,,,,,
239,0.068177613,,,,,,,,
