Wavelength,Abs,,,,,,,,
800,0.143278451,,,,,,,,
797,0.157914459,,,,,,,,
794,0.166805546,,,,,,,,
791,0.152918434,,,,,,,,
788,0.151899781,,,,,,,,
785,0.158090417,,,,,,,,
782,0.168056027,,,,,,,,
779,0.186948107,,,,,,,,
776,0.21356569,,,,,,,,
773,0.287069263,,,,,,,,
770,0.424914041,,,,,,,,
767,0.412898297,,,,,,,,
764,0.330064748,,,,,,,,
761,0.331817176,,,,,,,,
758,0.363802027,,,,,,,,
755,0.401517683,,,,,,,,
752,0.438269437,,,,,,,,
749,0.500883568,,,,,,,,
746,0.582101758,,,,,,,,
743,0.655615829,,,,,,,,
740,0.792113271,,,,,,,,
737,0.941756291,,,,,,,,
734,0.991422538,,,,,,,,
731,0.992302005,,,,,,,,
728,0.998638596,,,,,,,,
725,1.021463605,,,,,,,,
722,1.025001253,,,,,,,,
719,0.955034166,,,,,,,,
716,0.784320823,,,,,,,,
713,0.589645333,,,,,,,,
710,0.443998231,,,,,,,,
707,0.352984425,,,,,,,,
704,0.29634848,,,,,,,,
701,0.275610211,,,,,,,,
698,0.286900578,,,,,,,,
695,0.325482685,,,,,,,,
692,0.360550785,,,,,,,,
689,0.382009896,,,,,,,,
686,0.389395036,,,,,,,,
683,0.382334471,,,,,,,,
680,0.385841474,,,,,,,,
677,0.398102342,,,,,,,,
674,0.40789402,,,,,,,,
671,0.418140199,,,,,,,,
668,0.423624888,,,,,,,,
665,0.428589955,,,,,,,,
662,0.436586423,,,,,,,,
659,0.449411673,,,,,,,,
656,0.469987458,,,,,,,,
653,0.495830042,,,,,,,,
650,0.509498783,,,,,,,,
647,0.510730319,,,,,,,,
644,0.519356784,,,,,,,,
641,0.537339734,,,,,,,,
638,0.559053611,,,,,,,,
635,0.581326524,,,,,,,,
632,0.601495528,,,,,,,,
629,0.623830978,,,,,,,,
626,0.647342072,,,,,,,,
623,0.66840369,,,,,,,,
620,0.683003728,,,,,,,,
617,0.694318173,,,,,,,,
614,0.706035467,,,,,,,,
611,0.719630888,,,,,,,,
608,0.736630212,,,,,,,,
605,0.756631618,,,,,,,,
602,0.779990357,,,,,,,,
599,0.807691761,,,,,,,,
596,0.837352379,,,,,,,,
593,0.867844089,,,,,,,,
590,0.893762083,,,,,,,,
587,0.917235088,,,,,,,,
584,0.938577186,,,,,,,,
581,0.959396463,,,,,,,,
578,0.982875409,,,,,,,,
575,1.008747824,,,,,,,,
572,1.037224371,,,,,,,,
569,1.065587668,,,,,,,,
566,1.097704758,,,,,,,,
563,1.133973523,,,,,,,,
560,1.174736148,,,,,,,,
557,1.219229733,,,,,,,,
554,1.26325472,,,,,,,,
551,1.306478681,,,,,,,,
548,1.35139102,,,,,,,,
545,1.391624535,,,,,,,,
542,1.424704332,,,,,,,,
539,1.453933878,,,,,,,,
536,1.485960572,,,,,,,,
533,1.515500819,,,,,,,,
530,1.546275231,,,,,,,,
527,1.575111275,,,,,,,,
524,1.608506478,,,,,,,,
521,1.648934412,,,,,,,,
518,1.696453037,,,,,,,,
515,1.757715738,,,,,,,,
512,1.825925262,,,,,,,,
509,1.920023222,,,,,,,,
506,2.039224661,,,,,,,,
503,2.166266987,,,,,,,,
500,2.322940961,,,,,,,,
497,2.57673338,,,,,,,,
494,2.879087706,,,,,,,,
491,3.00467825,,,,,,,,
488,3.089408054,,,,,,,,
485,3.374727267,,,,,,,,
482,3.599535044,,,,,,,,
479,3.593262056,,,,,,,,
476,3.841260043,,,,,,,,
473,4.496741288,,,,,,,,
470,5.249460582,,,,,,,,
467,5.521123225,,,,,,,,
464,5.235610016,,,,,,,,
461,4.991395178,,,,,,,,
458,4.741700992,,,,,,,,
455,4.468083615,,,,,,,,
452,4.244500049,,,,,,,,
449,3.850335341,,,,,,,,
446,3.361868986,,,,,,,,
443,3.137778962,,,,,,,,
440,3.085457405,,,,,,,,
437,3.027345838,,,,,,,,
434,2.987494661,,,,,,,,
431,2.990208335,,,,,,,,
428,3.001245855,,,,,,,,
425,2.976161641,,,,,,,,
422,2.934825105,,,,,,,,
419,3.231791025,,,,,,,,
416,2.948366563,,,,,,,,
413,2.725393058,,,,,,,,
410,2.555022696,,,,,,,,
407,2.427198352,,,,,,,,
404,2.355848738,,,,,,,,
401,2.372160186,,,,,,,,
398,2.43561476,,,,,,,,
395,2.469788439,,,,,,,,
392,2.46756907,,,,,,,,
389,2.477675296,,,,,,,,
386,2.508841233,,,,,,,,
383,2.548016187,,,,,,,,
380,2.576122033,,,,,,,,
377,2.575171065,,,,,,,,
374,2.563698889,,,,,,,,
371,2.562403332,,,,,,,,
368,2.564891711,,,,,,,,
365,2.583051772,,,,,,,,
362,2.618955926,,,,,,,,
359,2.659966132,,,,,,,,
356,2.703393937,,,,,,,,
353,2.742944486,,,,,,,,
350,2.76801546,,,,,,,,
347,2.782394459,,,,,,,,
344,2.787414173,,,,,,,,
341,2.781694176,,,,,,,,
338,2.764483754,,,,,,,,
335,2.721764013,,,,,,,,
332,2.658641852,,,,,,,,
329,2.556771746,,,,,,,,
326,2.429630992,,,,,,,,
323,2.302443569,,,,,,,,
320,2.175579844,,,,,,,,
317,2.068823097,,,,,,,,
314,1.988103315,,,,,,,,
311,1.907795554,,,,,,,,
308,1.818235015,,,,,,,,
305,1.722740285,,,,,,,,
302,1.618634593,,,,,,,,
299,1.502439359,,,,,,,,
296,1.380110303,,,,,,,,
293,1.251604426,,,,,,,,
290,1.110644318,,,,,,,,
287,0.964805097,,,,,,,,
284,0.826916144,,,,,,,,
281,0.705330174,,,,,,,,
278,0.597975208,,,,,,,,
275,0.507749622,,,,,,,,
272,0.43973746,,,,,,,,
269,0.391847987,,,,,,,,
266,0.355383593,,,,,,,,
263,0.323895777,,,,,,,,
260,0.29258696,,,,,,,,
257,0.259769777,,,,,,,,
254,0.225744189,,,,,,,,
251,0.193031271,,,,,,,,
248,0.163714734,,,,,,,,
245,0.13491572,,,,,,,,
242,0.109332365,,,,,,,,
239,0.085357034,,,,,,,,
