Wavelength,Abs,
800,0.143813969,
797,0.158629286,
794,0.167412072,
791,0.153531233,
788,0.15243425,
785,0.158301797,
782,0.168066092,
779,0.186551512,
776,0.213605964,
773,0.287333933,
770,0.425462937,
767,0.412153238,
764,0.329573642,
761,0.331701677,
758,0.364040862,
755,0.401900785,
752,0.439203522,
749,0.501261239,
746,0.582647839,
743,0.656472826,
740,0.792592586,
737,0.942425688,
734,0.9921451,
731,0.992793455,
728,0.998660907,
725,1.022672772,
722,1.026328667,
719,0.956862013,
716,0.784369623,
713,0.589006057,
710,0.443608935,
707,0.353306581,
704,0.296566188,
701,0.275754111,
698,0.287294736,
695,0.326111543,
692,0.361838143,
689,0.382823189,
686,0.390105226,
683,0.38289736,
680,0.386769273,
677,0.398940559,
674,0.409211614,
671,0.418342504,
668,0.424951534,
665,0.42972714,
662,0.438214193,
659,0.450407066,
656,0.471571863,
653,0.497780439,
650,0.511168944,
647,0.512524067,
644,0.52144662,
641,0.53906976,
638,0.560884052,
635,0.582608562,
632,0.603237843,
629,0.625178153,
626,0.650148413,
623,0.67043721,
620,0.685048635,
617,0.697429758,
614,0.708543916,
611,0.721754902,
608,0.739570992,
605,0.759967312,
602,0.783605734,
599,0.811424309,
596,0.8418567,
593,0.872060426,
590,0.899285954,
587,0.922520422,
584,0.943230508,
581,0.965572394,
578,0.987873869,
575,1.014764944,
572,1.043275277,
569,1.072743258,
566,1.104775791,
563,1.142558679,
560,1.184153001,
557,1.228895385,
554,1.272503885,
551,1.316640112,
548,1.36067544,
545,1.403396467,
542,1.436093854,
539,1.464939027,
536,1.498891339,
533,1.52734696,
530,1.559063196,
527,1.58887254,
524,1.62295447,
521,1.665560684,
518,1.713987068,
515,1.777424111,
512,1.848808262,
509,1.942897153,
506,2.063668722,
503,2.196185896,
500,2.351247553,
497,2.61145096,
494,2.918972559,
491,3.044864182,
488,3.134127666,
485,3.419707257,
482,3.647195488,
479,3.646180894,
476,3.901250338,
473,4.572350783,
470,5.342322718,
467,5.621784191,
464,5.335527056,
461,5.089899384,
458,4.841641607,
455,4.566157347,
452,4.339413054,
449,3.932456491,
446,3.439389102,
443,3.213994819,
440,3.151378293,
437,3.100801079,
434,3.062405308,
431,3.072608584,
428,3.087665688,
425,3.071028447,
422,3.041222703,
419,3.344278331,
416,3.051939067,
413,2.827319967,
410,2.655302494,
407,2.529761478,
404,2.46448598,
401,2.488917887,
398,2.560323604,
395,2.601231782,
392,2.60721147,
389,2.624686642,
386,2.667269132,
383,2.717722296,
380,2.756773422,
377,2.764556493,
374,2.761315453,
371,2.772081683,
368,2.790211791,
365,2.822230924,
362,2.868992508,
359,2.928733453,
356,2.989938413,
353,3.046853855,
350,3.091226716,
347,3.128026042,
344,3.151520068,
341,3.167303564,
338,3.166461684,
335,3.142225478,
332,3.087131753,
329,2.991031538,
326,2.866822149,
323,2.736319733,
320,2.609753515,
317,2.502602248,
314,2.428750177,
311,2.353590829,
308,2.26568241,
305,2.172631056,
302,2.064901776,
299,1.94207219,
296,1.805714404,
293,1.659222333,
290,1.498195303,
287,1.325648651,
284,1.156412742,
281,1.002650379,
278,0.863422754,
275,0.745071103,
272,0.656685433,
269,0.594481012,
266,0.547421832,
263,0.505328133,
260,0.461822641,
257,0.41450621,
254,0.363109233,
251,0.313535908,
248,0.268683289,
245,0.224177538,
242,0.18356838,
239,0.146028124,
