"Wavelength","I1","I1.dark","R1","R1dark","XCorrect","I1c","R1c","I1c.R1c","Abs","Percent.T"
"nm","uA","uA","uA","uA","","uA","uA","uA/uA","OD","T*100"
"","Abs Detector Raw","Dark Offset for Abs Detector","Ref Detector Raw","Dark Offset for Ref Detector","Linear interp","Dark subtracted Abs Detector","Corrected Ref Detector","Corrected Intensity ","-Log(T)","% Transmittance"
"800","0.142826264955112","2.38536538124614E-4","0.21057412978908","0.00494622285296994","1.35067892074585","0.142587728416988","0.277737279415694","0.513390671633873","0.00116122537561677","99.7329751233967"
"798","0.151719652904806","","0.223868489896786","","1.34199333190918","0.151481116366681","0.293792222579243","0.515606284730097","0.00115880818243136","99.7335302180358"
"796","0.164242267524567","","0.241995762620984","","1.33337259292603","0.164003730986443","0.316075359492398","0.518875407592116","0.00112760686382583","99.7406957003676"
"794","0.164965962895211","","0.242617016776522","","1.32502686977386","0.164727426357086","0.314920188109193","0.523076743177766","0.00121635257579916","99.7203163147224"
"792","0.155274630307593","","0.228571445886906","","1.31713449954987","0.155036093769468","0.29454449622753","0.526358821010547","0.00120478776189743","99.7229717992001"
"790","0.14964966370867","","0.22086970927675","","1.30966234207153","0.149411127170545","0.282786858938019","0.52835244088656","0.00117931573629454","99.7288208732497"
"788","0.15167550827455","","0.224038571606922","","1.30193436145782","0.151436971736425","0.285243857175272","0.530903533685469","0.00122662361403174","99.7179579631598"
"786","0.155714484546253","","0.230009056507382","","1.29363858699799","0.155475948008128","0.291149966114456","0.534006409422036","0.00132645197832656","99.6950390981297"
"784","0.16097094166331","","0.237723618701898","","1.28498160839081","0.160732405125186","0.299114672514979","0.537360483769437","0.00123058296512994","99.7170488643269"
"782","0.168867356960737","","0.249281745486768","","1.27644824981689","0.168628820422613","0.311881650234008","0.540682083399548","0.00123669400026022","99.7156457378153"
"780","0.180725592844751","","0.266720090944737","","1.268270611763","0.180487056306626","0.332000103828313","0.543635541752606","0.00119555141851803","99.7250926767228"
"778","0.196556092430543","","0.289779053102354","","1.26044166088104","0.196317555892418","0.359015165632982","0.546822459564598","0.00114648669940529","99.736359824405"
"776","0.216000005812627","","0.31810820490566","","1.25292003154755","0.215761469274502","0.392366920432949","0.549897195809537","0.00136175448953138","99.6869355132557"
"774","0.256712011455919","","0.37765927278294","","1.24577045440674","0.256473474917794","0.46431490557458","0.5523696780753","0.00116211222838948","99.7327714634864"
"772","0.345526980736041","","0.50805172221309","","1.23883104324341","0.345288444197917","0.623262710633793","0.554001448035925","0.00116937079337994","99.731104597376"
"770","0.431541984359628","","0.632290886450541","","1.23221707344055","0.431303447821503","0.773024805416747","0.557942571569851","0.00128177938182845","99.7052945020179"
"768","0.430744195361351","","0.627810321588073","","1.22665858268738","0.430505658823226","0.764041592561253","0.563458407257734","0.00120440997552021","99.7230585467831"
"766","0.369280592396498","","0.53719847807807","","1.22236526012421","0.369042055858373","0.650606666409925","0.567227596813237","0.00118174717777016","99.7282625329468"
"764","0.325381559979136","","0.475530894095966","","1.2186872959137","0.325143023441012","0.573495560495563","0.566949503776547","0.00128757253638462","99.703964518901"
"762","0.326119008096307","","0.477213158798717","","1.214359998703","0.325880471558182","0.573502075722548","0.568228931251224","0.00133772824227593","99.6924505941819"
"760","0.342040559546359","","0.500409244826635","","1.20898902416229","0.341802023008235","0.599009355444442","0.570612161398766","0.0012293385174857","99.7173345986143"
"758","0.365911650149217","","0.534945328673011","","1.2031888961792","0.365673113611093","0.637689039107578","0.573434842353318","0.00117679444527317","99.7293998493155"
"756","0.391961627156943","","0.572525743867085","","1.19780671596527","0.391723090618819","0.679850562115059","0.576189992989258","0.00132408153097365","99.6955832507642"
"754","0.415021732960796","","0.605357672752008","","1.1931779384613","0.414783196422671","0.716397696019097","0.578984548285893","0.00139966293994528","99.67823447632"
"752","0.442048591373309","","0.644273103809889","","1.18890511989594","0.441810054835185","0.76009900205678","0.581253302056278","0.00136378481787246","99.6864694775455"
"750","0.482534672144152","","0.702366272217897","","1.1848680973053","0.482296135606028","0.826350766913588","0.583645777213228","0.00124977705085785","99.7126418654592"
"748","0.533947736513911","","0.776417639109502","","1.18107759952545","0.533709199975786","0.911167608414766","0.585742068799312","0.00141594236191396","99.6744981322152"
"746","0.587132991733522","","0.851960302381867","","1.17750906944275","0.586894455195397","0.997366760590979","0.588443969044687","0.00135617860968942","99.6882153958368"
"744","0.634614092007664","","0.918641845084171","","1.174187541008","0.63437555546954","1.07285001589742","0.59129938581293","0.00135775192048143","99.6878542577898"
