Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.144402434725731	2.46751779523977E-4	0.212814936359716	0.00496462066097138	1.35067892074585	0.144155682946207	0.280739040084665	0.51348641394062	2.55012882144669E-4	99.9412983500693
798	0.153828400187944		0.226889979791024		1.34199333190918	0.15358164840842	0.297822352134081	0.515682074592162	3.32280547357651E-4	99.9235188382575
796	0.166047978882098		0.244535953307551		1.33337259292603	0.165801227102574	0.319437849001713	0.519040644747409	2.48172230078384E-4	99.9428725561941
794	0.165974796776373		0.244053509881439		1.32502686977386	0.165728044996849	0.316799202481506	0.523132772111456	3.69813447327989E-4	99.9148835515166
792	0.155703980014434		0.229184882964838		1.31713449954987	0.15545722823491	0.295328242978542	0.526387949445815	2.62418077019711E-4	99.9395942563919
790	0.150791359108161		0.222446870677919		1.30966234207153	0.150544607328637	0.284828312916182	0.528545093664682	2.78967040893651E-4	99.935786090981
788	0.153212783582738		0.226208161594591		1.30193436145782	0.152966031803214	0.28804456819208	0.531049874550004	3.07023717500666E-4	99.9293301593915
786	0.157346688023312		0.232206250788763		1.29363858699799	0.157099936243788	0.293968541305636	0.534410707846637	1.64172151601418E-4	99.9622051091728
784	0.162596613234268		0.239939543337514		1.28498160839081	0.162349861454744	0.301938454072409	0.537691901329701	1.71613164913164E-4	99.9604924147735
782	0.170445683751916		0.251479673334431		1.27644824981689	0.170198931972392	0.314663707538557	0.540891522901594	2.69391735578234E-4	99.9379894950138
780	0.183146190483699		0.270065821331454		1.268270611763	0.182899438704175	0.336220061953459	0.543987285117724	2.03235643546723E-4	99.9532142116452
778	0.198709985701966		0.292745326589036		1.26044166088104	0.198463233922442	0.362730790949489	0.547136440782823	2.70959062518096E-4	99.9376288290898
776	0.218593742260087		0.321712187435205		1.25292003154755	0.218346990480563	0.396859371355381	0.550187311275654	3.85938628406095E-4	99.91117382057
774	0.263013084314347		0.386534613018472		1.24577045440674	0.262766332534823	0.475348622767179	0.552786565374195	1.98195709509104E-4	99.9543741631309
772	0.354710514940069		0.520855204217593		1.23883104324341	0.354463763160545	0.639101269826901	0.55462847579156	1.41157757381606E-4	99.9675025067889
770	0.436569370814149		0.638773393748857		1.23221707344055	0.436322619034625	0.780989991495301	0.558678886779626	3.12380741869509E-4	99.9280975382611
768	0.430390652271943		0.626643590330528		1.22665858268738	0.430143900492419	0.762587843821408	0.564058165859191	2.81895657515671E-4	99.9351121873749
766	0.366973811399856		0.533609150089483		1.22236526012421	0.366727059620332	0.646196707728121	0.567516137477178	1.86834748585966E-4	99.9569889617055
764	0.326600088721826		0.476891180040238		1.2186872959137	0.326353336942302	0.575130902519773	0.567441838914372	2.63692760164805E-4	99.9393009274764
762	0.329271785183318		0.481270876678011		1.214359998703	0.329025033403794	0.578407264439084	0.568846647738544	2.76582839724286E-4	99.9363347225709
760	0.346703152606342		0.506675525929526		1.20898902416229	0.346456400826818	0.60656297777221	0.571179602980857	1.6347294197735E-4	99.9623660474187
758	0.371202565045068		0.542013898591055		1.2031888961792	0.370955813265544	0.646171727906534	0.574082395197584	2.50894471161363E-4	99.9422460970695
756	0.396231426944569		0.577883991221163		1.19780671596527	0.395984675165045	0.686246669763593	0.577029649268038	1.45373782180405E-4	99.9665320513917
754	0.420017776336829		0.611742552792414		1.1931779384613	0.419771024557305	0.723994042164407	0.579799004011667	2.69342514254673E-4	99.938000821615
752	0.446998708846205		0.650462413477541		1.18890511989594	0.446751957066681	0.767435630761145	0.582136063481431	2.40570894009752E-4	99.9446218439287
750	0.489345402097407		0.710930946561116		1.1848680973053	0.489098650317883	0.836476977330916	0.5847126263756	-1.0609159450963E-4	100.0244314764
748	0.540976850255355		0.785383709630316		1.18107759952545	0.540730098475831	0.921735504223754	0.586643452485007	2.20116798505735E-4	99.9493290761552
746	0.595511949829924		0.86241836508422		1.17750906944275	0.5952651980504	1.00965956068602	0.589570208839446	1.60768825900503E-4	99.962988460767
744	0.643037238031136		0.929119287974434		1.174187541008	0.642790486251612	1.08513089632386	0.592362164259832	6.36105389464494E-5	99.9853542047278
742	0.71416678028842		1.02955662277818		1.17108881473541	0.713920028508896	1.19988823334683	0.594988773677336	5.69821044342415E-5	99.9868802462912
