Wavelength,I1,I1 dark,R1,R1dark,XCorrect,I1c,R1c,I1c/R1c,Abs,Percent T
nm,uA,uA,uA,uA,,uA,uA,uA/uA,OD,T*100
,Abs Detector Raw,Dark Offset for Abs Detector,Ref Detector Raw,Dark Offset for Ref Detector,Linear interp,Dark subtracted Abs Detector,Corrected Ref Detector,Corrected Intensity ,-Log(T),% Transmittance
800,0.142946710015361,2.48138984642336E-4,0.208410158659727,0.00496717074316791,1.35067892074585,0.142698571030719,0.274786155352449,0.519307717114384,1.79042883041719E-4,99.9587823494586
798,0.142047026638829,,0.206979757244849,,1.34199333190918,0.141798887654187,0.271099544046983,0.52305100015075,3.19870279430118E-5,99.9926349858594
796,0.140131342518676,,0.204390623992561,,1.33337259292603,0.139883203534034,0.265905766949405,0.526063067901232,5.80917212765455E-5,99.9866247814184
794,0.14902290570794,,0.217478786934648,,1.32502686977386,0.148774766723297,0.281583601592781,0.528350251512343,1.32519483859592E-4,99.9694909161612
792,0.161688607332745,,0.235598846447815,,1.31713449954987,0.161440468348103,0.303772936759587,0.531451122901941,8.6036559540708E-6,99.9980189546284
790,0.162730430715728,,0.236727773101934,,1.30966234207153,0.162482291731086,0.303528133285091,0.535312130617141,1.22888803918508E-4,99.9717078101952
788,0.152711019096523,,0.222290054005266,,1.30193436145782,0.152462880111881,0.282940129250014,0.538852090426382,-1.99411265447934E-5,100.004591719488
786,0.146551618371928,,0.213804943184069,,1.29363858699799,0.146303479387286,0.270160600852254,0.541542619189304,-3.24602895007843E-5,100.007474537201
784,0.148718480851063,,0.217145690241032,,1.28498160839081,0.14847034186642,0.272645495250346,0.544554538596331,1.84551302176134E-5,99.9957506395151
782,0.15223686672415,,0.222211391705471,,1.27644824981689,0.151988727739508,0.277301005630166,0.548100167881156,-6.40783021253929E-5,100.014755662867
780,0.157278787556665,,0.229452375067345,,1.268270611763,0.157030648572022,0.284707987419967,0.551549852868686,-4.53551748633549E-5,100.010443960297
778,0.164817125424797,,0.240306278794422,,1.26044166088104,0.164568986440155,0.296631216222386,0.554793216088143,-6.89334057428287E-5,100.015873762996
776,0.175904086363772,,0.256318276525546,,1.25292003154755,0.17565594737913,0.314922835386368,0.557774564564756,-4.08816765577211E-5,100.009413796972
774,0.190838834381489,,0.277752113758321,,1.24577045440674,0.190590695396846,0.339827422415304,0.560845543429762,-2.89448987520943E-4,100.066670307161
772,0.210328767889731,,0.305770016783574,,1.23883104324341,0.210080628905089,0.372643903570823,0.563757053025723,-1.52450662118883E-4,100.035109224047
770,0.248286802634909,,0.360330653467416,,1.23221707344055,0.248038663650267,0.437884950690115,0.566447107303763,-8.36722753155276E-5,100.019268109446
768,0.33528881320493,,0.485883617748446,,1.22665858268738,0.335040674220287,0.589920287274544,0.5679422821144,-2.77420952882204E-4,100.06389894174
766,0.422519180135427,,0.610433363954872,,1.22236526012421,0.422271041150785,0.740100840761637,0.570558791307717,-3.49337762585035E-4,100.080470352484
764,0.432540978801437,,0.622193210404464,,1.2186872959137,0.432292839816794,0.752205533242344,0.574700425232739,-1.89478328142071E-4,100.043638516214
762,0.369474235584201,,0.530523621537359,,1.214359998703,0.369226096599558,0.638214730904789,0.578529574326985,-1.64805713758112E-4,100.037955119107
760,0.321878361750947,,0.463627003152321,,1.20898902416229,0.321630222766305,0.554514703206782,0.580021090344951,-3.86583517440093E-4,100.089053773793
758,0.319472639714661,,0.460822518605421,,1.2031888961792,0.319224500730019,0.54848009281177,0.582016567079987,-2.60486828298947E-4,100.05999729996
756,0.334012890816229,,0.481556229765249,,1.19780671596527,0.333764751831587,0.570861575652218,0.584668448651944,-2.77993799757078E-4,100.064030928979
754,0.357669180394555,,0.515130324784903,,1.1931779384613,0.357421041409913,0.608715420418433,0.58717264163313,-3.88085097092342E-4,100.089399833788
752,0.382229466246124,,0.549746325012795,,1.18890511989594,0.381981327261482,0.647690725723737,0.589758834101957,-4.96617128485094E-4,100.114415724603
750,0.405653124904969,,0.582679109915382,,1.1848680973053,0.405404985920327,0.684512446157535,0.59225363716327,-3.99709829993691E-4,100.092078956272
748,0.43008425884055,,0.617082051672445,,1.18107759952545,0.429836119855908,0.722955174201759,0.594554317050854,-2.9887861912816E-4,100.068843031247
746,0.468952721820005,,0.671856689820276,,1.17750906944275,0.468704582835363,0.785268457029608,0.596871781413844,-4.70644310548147E-4,100.108428598704
744,0.521776513112838,,0.746290710518946,,1.174187541008,0.521528374128196,0.870452864260664,0.599146025639385,-6.10341016316843E-4,100.140635010994
