,sample,bix,b,t,a,m,c,fi,hix,integration_time,date,Station,a254,a300,E2_E3,E4_E6,S275_295,S350_400,S300_700,SR
1,A118Feb25,1.890878865,NA,0.037364718,0.111384329,0.064233685,0.028945544,0.869186787,0.383160711,01s,18-Feb-25,LH-1A,3.485526176,0.939515699,15.43872397,-1.127170325,0.03371798,0.022065584,0.08424765,1.528080125
2,BQ20Feb25,0.84546677,NA,0.279097108,0.925261617,0.628846893,0.423178187,1.296711666,0.832357013,01s,20-Feb-25,Bay_of_Quinte,32.28729838,13.89034511,8.199578884,-10.881851,0.020684978,0.019576151,0.019385873,1.056641716
3,E96619Feb25,1.161492862,NA,0.049968152,0.132335852,0.067581952,0.042712205,1.318391969,0.565903129,01s,19-Feb-25,EC966,4.313529382,1.461938592,10.52154109,-14.24085642,0.02857031,0.017202595,0.019098345,1.660814008
4,E96719Feb25,0.829544864,NA,0.044511014,0.116411111,0.060450608,0.039117217,1.965663073,0.525880494,01s,19-Feb-25,EC967,4.198000992,1.388347402,8.743514411,1.895036283,0.029077139,0.014136732,0.014909913,2.056850177
5,GB21Feb25,0.731003719,NA,0.17894394,0.952989494,0.637888508,0.509874254,1.368445783,0.833457484,01s,21-Feb-25,Georgian_Bay,39.86347823,21.1373546,5.344932925,14.43058871,0.015058583,0.016711871,0.015700406,0.901071037
6,GB3219Feb25,0.877583192,NA,0.604656806,1.886256875,1.246643831,0.809442326,1.407460956,0.809418277,01s,19-Feb-25,GB_32,56.97280085,25.19010669,8.058660965,6.822558504,0.019983638,0.019024576,0.018833861,1.050411729
7,LHU29Feb25,0.829809823,NA,0.026631261,0.143523365,0.080724099,0.049726299,1.256116236,0.682606892,01s,29Feb25,LHU_04,5.320075821,2.307869532,5.745100754,1.340621577,0.021497916,0.011346144,0.011851904,1.894733207
8,LSU29Feb25,1.401920755,NA,0.212299434,0.144051932,0.084242593,0.041791741,1.148374466,0.405532323,01s,29Feb25,LSU_01,5.763527422,2.959426012,3.442928592,1.167546203,0.016006459,0.005432906,0.006086043,2.946205923
9,PIB18Feb25,0.995022384,NA,0.059914612,0.174140608,0.093455813,0.05588017,1.241362459,0.635625059,01s,18-Feb-25,Put-In-Bay,5.053015308,1.864179036,9.022066196,-9.975157471,0.02468194,0.018112034,0.019276524,1.362737101
10,SB1413Feb25,1.098360442,NA,0.039411909,0.178205181,0.103148175,0.056275401,1.371491168,0.694923059,01s,13-Feb-25,SB_14,6.386973919,2.092065288,11.68026485,-47.54415842,0.02865181,0.018362339,0.022996655,1.560357326
11,SB213Feb25,1.036611795,NA,0.132056253,0.305341861,0.175778909,0.102328485,1.396189717,0.707044396,01s,13-Feb-25,SB_2,9.711092935,3.321752347,11.32679608,3.890853991,0.027604476,0.019275934,0.02059233,1.432069428
12,SB413Feb25,0.870994549,NA,0.094909424,0.244698447,0.120624355,0.06585506,1.353495758,0.668203643,01s,13-Feb-25,SB_4,7.230152197,2.34776364,12.81348461,-1.517780228,0.028810862,0.020591672,0.046002769,1.399151157
13,SM18Feb25,0.707299491,NA,0.084381374,0.565676574,0.349862114,0.296225776,1.254376852,0.891367161,01s,18-Feb-25,St_Martins_Bay,23.51613222,12.33212261,5.422605929,20.58757252,0.015202131,0.016839048,0.015763302,0.902790365
14,SMR29Feb25,0.994988855,NA,0.023967103,0.137539923,0.066408604,0.044001796,2.007693277,0.573520199,01s,29Feb25,SMR_02,3.747334129,1.300572251,11.02476365,-0.519579937,0.027024225,0.02257182,0.098428499,1.197255012
15,WF17Feb25,0.488471312,NA,0.042653476,0.154495291,0.07137782,0.057490536,0.99895457,0.656847011,01s,17-Feb-25,Whitefish_Bay,5.809014065,2.464258676,7.639029833,-2.152424543,0.02094533,0.018203528,0.024268682,1.150619301
16,BQ121May2401s,0.767150933,NA,0.192936246,0.86326002,0.511158655,0.354152601,1.194966323,0.860008532,01s,21-May-24,Bay_of_Quinte,34.7801023,16.62273368,7.457020127,-5.93890786,0.018913756,0.019094959,0.021434294,0.990510419
17,EC95820May24,0.904305974,NA,0.175647097,0.343158019,0.193644144,0.139645902,1.188978796,0.768395791,01s,20-May-24,EC958,11.79506844,5.495016957,7.092965208,8.639942996,0.018620026,0.016662674,0.018285633,1.117469243
18,EC96220May24,1.204908817,NA,0.124479062,0.134105407,0.069782122,0.041412944,0.910773574,0.494863238,01s,20-May-24,EC962,6.793132891,2.836822984,5.428403503,1.179417375,0.021981474,0.008248347,0.010233705,2.664954968
19,GB122May2401s,0.688142965,NA,0.244633747,0.782755341,0.462095389,0.315824525,1.168722962,0.856032099,01s,22-May-24,Georgian_Bay,34.76757643,18.03855737,5.672211777,2.572268291,0.016667897,0.015716992,0.01576803,1.060501712
20,GB15May2401s,0.805559435,NA,0.261536913,0.896524184,0.537204317,0.374358076,1.26952899,0.84279091,01s,15-May-24,GB_32,33.27658728,15.60568817,7.129079865,3.967854363,0.01907891,0.015693419,0.018031704,1.21572683
21,GraMay2401s,0.87276261,NA,0.080659656,0.168316167,0.096412469,0.058696213,1.135807396,0.555565278,01s,24-May,Graeber,7.697991968,3.333546196,8.610876963,-5.372631982,0.020442564,0.017289625,0.025577596,1.182360148
22,KB29May2401s,0.96787315,NA,0.034312035,0.134916189,0.061339116,0.045495352,0.896254091,0.771449988,01s,29-May-24,Keweenaw_Bay_Baraga,5.853536299,2.574801811,7.943620208,-2.21399226,0.020043194,0.019769068,0.094225725,1.013866435
23,KW29May2401s,0.731902144,NA,0.077764314,0.382467065,0.231431145,0.160098845,1.091868099,0.858950684,01s,29-May-24,Keweenaw_Waterway,19.27494241,9.889792328,5.991423491,9.421406402,0.016529262,0.016915772,0.01690023,0.977150885
24,Mar15May2401s,1.112275624,NA,0.073682263,0.141301765,0.084624104,0.058425764,1.125237763,0.705830558,01s,15-May-24,St_Martins_Bay,7.750755355,3.393731854,8.274561279,-0.215506624,0.020485924,0.020043377,0.103228061,1.022079429
25,MB14May2401s,0.802892001,NA,0.181178929,0.733142039,0.450791005,0.338040089,1.270785723,0.901389486,01s,14-May-24,LSC_MB,24.1383156,12.02341061,6.853008813,19.91151798,0.017257346,0.017651128,0.018323113,0.977690831
26,Rac14May2401s,1.153112726,NA,0.061074047,0.142966819,0.072455803,0.051418417,1.126466818,0.698895217,01s,14-May-24,Racine,5.940963244,2.225996545,11.0670666,0.030585129,0.024199757,0.02205597,0.103837714,1.097197569
27,S114May2401s,0.968418245,NA,0.081627463,0.273021141,0.141113667,0.092131478,1.373173724,0.787052294,01s,14-May-24,SCS1,9.252223079,3.893139805,9.606774876,-0.209592261,0.021513625,0.021695772,0.104330348,0.991604462
28,S214May2401s,0.720286855,NA,0.098548289,0.327006057,0.172085283,0.125999712,1.236527883,0.846049335,01s,14-May-24,SCS2,11.28008844,5.20559107,7.543364364,-0.800076775,0.019034979,0.019079905,0.103696771,0.997645358
29,SB15May2401s,1.537000189,NA,0.065083295,0.138546125,0.053211314,0.036145604,0.8643806,0.719682669,01s,15-May-24,1629_Suttons_Bay,4.596172104,1.553412821,13.30130213,0.015783054,0.027571554,0.022552726,0.10280452,1.222537523
30,SB215May2401s,0.880813753,NA,0.041867336,0.117326097,0.058126288,0.033334231,1.55198145,0.718787208,01s,15-May-24,SB_2,4.873171314,1.842697988,7.59080099,1.975737071,0.024622776,0.01163649,0.015019836,2.115996825
31,TC15May2401s,0.740343464,NA,0.077380296,0.308476879,0.174907279,0.126989304,1.137995337,0.813615848,01s,15-May-24,NW_Pier,11.32217516,5.292691045,7.525746217,-1.467243761,0.01913302,0.019155358,0.041898771,0.998833889
32,WF16May2401s,0.57760462,NA,0.088554669,0.476574768,0.276581974,0.223456173,1.068022911,0.889061315,01s,16-May-24,Whitefish_Bay,27.31366116,15.0172418,5.223383135,28.82827644,0.01461995,0.01664109,0.01624006,0.878545208
33,BQ121May241s,0.739238367,NA,0.212877301,0.867853875,0.542989068,0.378487959,1.227128786,0.854392232,1s,21-May-24,Bay_of_Quinte,34.77803308,16.64794229,7.41131054,31.16026367,0.018888958,0.018603315,0.019268201,1.015354426
34,GB122May241s,0.689736726,NA,0.201873546,0.802574473,0.509646975,0.356569551,1.208278729,0.853626161,1s,22-May-24,Georgian_Bay,34.24778718,17.40632391,6.240512032,5.520707684,0.017210651,0.017099555,0.01715269,1.006497059
35,WF16May241s,0.578267475,NA,0.092592219,0.489797686,0.304659261,0.245777947,1.096515505,0.890138468,1s,16-May-24,Whitefish_Bay,27.47977973,15.08676467,5.221619047,10.31412602,0.014655478,0.016268334,0.015795251,0.900859186
36,BPier13Aug24,0.313182981,NA,-0.092486326,0.097642236,0.04889565,0.041137638,0.6874807,2.292676611,01s,13-Aug-24,B-Pier,5.312212286,1.645763397,13.35896982,4.364159905,0.030308807,0.018983085,0.024987741,1.596621809
37,BQ18Aug24,0.710928287,NA,0.04671376,0.881865837,0.55117182,0.371125468,1.279975612,0.927643575,01s,18-Aug-24,Bay_of_Quinte,35.1373588,15.81072077,7.932713976,7.154208945,0.02068522,0.018670185,0.019132554,1.107928002
38,CCIW13Aug24,0.905433537,NA,0.181619606,0.629021235,0.39769847,0.282794871,1.298223279,0.761775339,01s,13-Aug-24,CCIW,20.411265,9.51698982,7.466271784,14.07927475,0.01929358,0.017673115,0.019068873,1.091690975
39,GB1Aug24,0.711974438,NA,0.003356834,0.519197043,0.297990205,0.201303889,1.195235931,0.887596851,01s,8-Aug-24,Georgian_Bay,24.61774843,10.63444329,8.25451924,12.96153538,0.021759089,0.018228933,0.019676213,1.193656783
40,GraeAug24,0.147892708,NA,-0.060364469,0.126418874,0.083046593,0.059940395,1.449437462,1.12668667,01s,24-Aug,Graeber,6.717286271,2.559193908,9.743942571,-6.978342326,0.025392681,0.017678726,0.028502243,1.436341138
41,NPier23Jun24,-1.081351117,NA,-0.132393306,0.083570417,0.047171316,0.032682417,1.230012707,1.621631812,01s,23-Jun-24,NW_Pier,4.297799217,1.251626537,15.57832058,-0.013634356,0.031727364,0.024632761,0.102043067,1.288014958
42,PIB12Aug24,0.666145145,NA,-0.055433832,0.226969796,0.118140237,0.089031288,1.292967456,1.010500398,01s,12-Aug-24,Put-In-Bay,9.44149564,3.876280814,7.094581619,2.19977389,0.023300467,0.013940537,0.015058505,1.671418168
43,WB14May24,-0.115127874,NA,-0.111353987,0.132128375,0.062897527,0.053500899,1.067438005,1.22804775,01s,14-May-24,Washburn,6.443812325,2.673176045,8.81753995,-7.908460895,0.022645348,0.019463263,0.027016341,1.163491844
44,WB8Aug24,0.47265668,NA,0.001292204,0.236964487,0.136521107,0.094810966,1.057621141,0.82339365,01s,8-Aug-24,Washburn,13.10605712,6.173632738,6.306029357,3.10711952,0.018757164,0.01551044,0.016053289,1.209325062
45,GB1Aug241s,0.972641609,NA,0.352735584,0.499261962,0.324138022,0.190155805,1.230084487,0.726446199,1s,1-Aug-24,Georgian_Bay,24.97641274,10.90062344,8.111111318,5.689010004,0.021447358,0.017778974,0.019197334,1.206332684
46,GB327Aug241s,0.892444998,NA,0.47236975,1.023804031,0.631099825,0.417341666,1.257248435,0.792895369,1s,7-Aug-24,GB_32,35.47900391,15.68395983,8.149961033,3.304819418,0.020687502,0.01830079,0.018936102,1.13041583
47,KW6Aug241s,0.705264867,NA,0.17393077,0.613581377,0.403127636,0.263201231,1.18345471,0.853874532,1s,6-Aug-24,Keweenaw_Waterway,29.95125279,14.97590599,6.3011825,6.151463016,0.017310629,0.017095087,0.017026934,1.012608441
48,GB327Aug24,0.867917113,NA,0.437899833,1.185295964,0.701554431,0.471127628,1.315348351,0.786578646,01s,7-Aug-24,GB_32,35.42921674,15.62081158,8.139887114,3.976196507,0.020834383,0.018438979,0.019067667,1.129909786
49,KW6Aug24,0.68009792,NA,0.203010664,0.76044699,0.490214613,0.323070335,1.227357774,0.859495114,01s,6-Aug-24,Keweenaw_Waterway,30.15973096,15.13595842,6.190284681,4.357205732,0.017315003,0.016833329,0.016773096,1.028614345
50,Mart13Aug24,0.375426309,NA,0.050660718,0.121858397,0.053317316,0.03109118,0.470656872,0.486847528,01s,13-Aug-24,St_Martins_Bay,4.34425618,1.347155446,13.4276811,0.247265708,0.031292555,0.023358388,0.112787491,1.339670982
51,Rac13Aug24,1.247085601,NA,0.21187091,0.192309278,0.107528985,0.059721091,1.782629346,0.496231152,01s,13-Aug-24,Racine,8.188090066,4.286459874,3.483254894,1.47042598,0.016141971,0.006370839,0.006351993,2.533727626
52,SB23Jun24,1.47414784,NA,0.05606178,0.11220666,0.046545387,0.032546299,0.758690049,0.531613409,01s,23-Jun-24,1629_Suttons_Bay,3.846880941,1.074878034,15.25389267,-2.755332893,0.032741589,0.019811114,0.092854413,1.652687965
53,SCS15Aug24,0.88852717,NA,0.225634945,0.727120869,0.401016028,0.276443983,1.270570541,0.774363592,01s,5-Aug-24,SCS1,18.19370162,8.350362386,7.385538658,14.01665811,0.019560075,0.017637512,0.018333981,1.109004204
54,SCS25Aug24,0.848121675,NA,0.123968034,0.235380319,0.144202412,0.097452923,1.428500722,0.640102508,01s,5-Aug-24,SCS2,6.995053438,2.89532879,8.158571916,4.878195495,0.022150945,0.016232214,0.018347022,1.364628712
55,WF13Aug24,0.733817164,NA,0.029299902,0.120609719,0.057679297,0.035206077,1.339114201,0.54082535,01s,13-Aug-24,Whitefish_Bay,4.712148374,1.700922814,11.8328083,0.232786041,0.026900297,0.023485038,0.103767932,1.145422768
