"","X","sample","bix","b","t","a","m","c","fi","hix","integration_time","date","Station","a254","a300","E2_E3","E4_E6","S275_295","S350_400","S300_700","SR","PI_name","Latitude° N","Longitude°W","Lake","year","season","Month","NPOC","NPOC.LOD.flag","TN.LOD.flag","Notes","TN","SUVA254"
"1",1,"A118Feb25",1.890878865,NA,0.037364718,0.111384329,0.064233685,0.028945544,0.869186787,0.383160711,"01s","18-Feb-25","LH-1A",3.485526176,0.939515699,15.43872397,-1.127170325,0.03371798,0.022065584,0.08424765,1.528080125,"Currie",43.0893,-82.4123,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"2",2,"BQ20Feb25",0.84546677,NA,0.279097108,0.925261617,0.628846893,0.423178187,1.296711666,0.832357013,"01s","20-Feb-25","Bay_of_Quinte",32.28729838,13.89034511,8.199578884,-10.881851,0.020684978,0.019576151,0.019385873,1.056641716,"Xenopoulos",44.14273,-77.38573,"Lake Ontario",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"3",3,"E96619Feb25",1.161492862,NA,0.049968152,0.132335852,0.067581952,0.042712205,1.318391969,0.565903129,"01s","19-Feb-25","EC966",4.313529382,1.461938592,10.52154109,-14.24085642,0.02857031,0.017202595,0.019098345,1.660814008,NA,NA,NA,NA,2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"4",4,"E96719Feb25",0.829544864,NA,0.044511014,0.116411111,0.060450608,0.039117217,1.965663073,0.525880494,"01s","19-Feb-25","EC967",4.198000992,1.388347402,8.743514411,1.895036283,0.029077139,0.014136732,0.014909913,2.056850177,NA,NA,NA,NA,2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"5",5,"GB21Feb25",0.731003719,NA,0.17894394,0.952989494,0.637888508,0.509874254,1.368445783,0.833457484,"01s","21-Feb-25","Georgian_Bay",39.86347823,21.1373546,5.344932925,14.43058871,0.015058583,0.016711871,0.015700406,0.901071037,"Xenopoulos",44.751916,-79.7777518,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"6",6,"GB3219Feb25",0.877583192,NA,0.604656806,1.886256875,1.246643831,0.809442326,1.407460956,0.809418277,"01s","19-Feb-25","GB_32",56.97280085,25.19010669,8.058660965,6.822558504,0.019983638,0.019024576,0.018833861,1.050411729,"Rae-Ann",44.58152,-87.97967,"Lake Michigan",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"7",7,"LHU29Feb25",0.829809823,NA,0.026631261,0.143523365,0.080724099,0.049726299,1.256116236,0.682606892,"01s","29Feb25","LHU_04",5.320075821,2.307869532,5.745100754,1.340621577,0.021497916,0.011346144,0.011851904,1.894733207,"Twiss",46.2894,-83.793,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"8",8,"LSU29Feb25",1.401920755,NA,0.212299434,0.144051932,0.084242593,0.041791741,1.148374466,0.405532323,"01s","29Feb25","LSU_01",5.763527422,2.959426012,3.442928592,1.167546203,0.016006459,0.005432906,0.006086043,2.946205923,"Twiss",46.529167,-84.5861167,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"9",9,"PIB18Feb25",0.995022384,NA,0.059914612,0.174140608,0.093455813,0.05588017,1.241362459,0.635625059,"01s","18-Feb-25","Put-In-Bay",5.053015308,1.864179036,9.022066196,-9.975157471,0.02468194,0.018112034,0.019276524,1.362737101,"Chaffin",41.658349,-82.826087,"Lake Erie",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
"10",10,"SB1413Feb25",1.098360442,NA,0.039411909,0.178205181,0.103148175,0.056275401,1.371491168,0.694923059,"01s","13-Feb-25","SB_14",6.386973919,2.092065288,11.68026485,-47.54415842,0.02865181,0.018362339,0.022996655,1.560357326,"Godwin",43.73836,-83.64078,"Lake Huron",2025,"Winter",NA,NA,NA,NA,NA,NA,NA
