"Wavelength","Abs"
"800","3.60197153524689E-5"
"798","-7.10236049495522E-5"
"796","-4.00971151660375E-6"
"794","3.81853183917119E-5"
"792","3.70166828095882E-5"
"790","3.53386737341483E-5"
"788","-2.23641283703517E-5"
"786","-2.3625692657055E-5"
"784","-1.00338074996713E-4"
"782","-5.89987083215537E-5"
"780","-6.37659392795943E-5"
"778","-6.39266114827564E-5"
"776","-4.33410746341163E-5"
"774","-1.38717487580053E-5"
"772","-1.44952499319504E-4"
"770","-1.8527082290845E-4"
"768","-1.52224941409344E-4"
"766","-7.91730575791252E-5"
"764","-2.34314073193822E-5"
"762","-6.28742450798693E-5"
"760","-1.29251843368458E-4"
"758","-1.09231653198893E-4"
"756","-1.52008445929282E-4"
"754","-5.97721764475248E-5"
"752","-9.54897727728858E-5"
"750","-7.41214162342338E-5"
"748","-9.45480813450109E-5"
"746","-1.06478479914239E-4"
"744","-9.60981250039958E-5"
"742","-7.73898792970456E-5"
"740","-1.15361790765948E-4"
"738","-1.27316961478631E-4"
"736","-1.00596407332817E-4"
"734","-4.14620804550788E-5"
"732","-4.13958197831936E-5"
"730","3.83760415456971E-5"
"728","1.29245917693202E-4"
"726","3.28965727868623E-5"
"724","7.58376855029816E-5"
"722","1.30691638575496E-4"
"720","1.35632506788783E-4"
"718","1.90253340747395E-4"
"716","2.44707705638059E-4"
"714","2.22407449722488E-4"
"712","9.99067022099808E-5"
"710","-1.20443312930822E-4"
"708","-9.4012417178758E-5"
"706","-1.09987874863612E-4"
"704","-6.98964605831316E-5"
"702","1.12911621555886E-6"
"700","7.19475073676003E-5"
"698","7.58339372786471E-5"
"696","8.97756034250303E-5"
"694","1.68986182984668E-4"
"692","2.26449253633066E-4"
"690","2.38111812601373E-4"
"688","1.9651543001299E-4"
"686","2.88049494062996E-4"
"684","2.91925659399952E-4"
"682","1.92285791019403E-4"
"680","2.52307825505584E-4"
"678","2.44157057966762E-4"
"676","3.41885603684885E-4"
"674","3.739050649819E-4"
"672","3.40919628847101E-4"
"670","3.07686642866463E-4"
"668","3.81965642206528E-4"
"666","4.35724817690651E-4"
"664","4.54299131085157E-4"
"662","4.8364447424094E-4"
"660","4.32942703915395E-4"
"658","4.56126051342125E-4"
"656","5.01112414612097E-4"
"654","4.95967229954256E-4"
"652","4.9425873874831E-4"
"650","5.05127555888795E-4"
"648","5.59107032820364E-4"
"646","5.2420710079581E-4"
"644","6.12240617981943E-4"
"642","6.69329534189026E-4"
"640","7.07484102719915E-4"
